M&T Bank PE Ratio Historical Data,M&T Bank PE Ratio Historical Data,M&T Bank PE Ratio Historical Data,M&T Bank PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,176.91,,12.09
2024-12-31,188.01,$14.63,12.85
2024-09-30,177.01,$13.51,13.1
2024-06-30,149.24,$13.47,11.08
2024-03-31,143.41,$14.79,9.7
2023-12-31,133.89,$15.78,8.48
2023-09-30,122.27,$17.33,7.06
2023-06-30,118.44,$16.88,7.02
2023-03-31,113.19,$12.91,8.77
2022-12-31,136.16,$11.52,11.82
2022-09-30,164.34,$10.60,15.5
2022-06-30,147.59,$10.76,13.72
2022-03-31,155.91,$13.09,11.91
2021-12-31,140.35,$13.80,10.17
2021-09-30,135.4,$13.95,9.71
2021-06-30,130.72,$13.01,10.05
2021-03-31,135.46,$11.34,11.95
2020-12-31,112.92,$9.94,11.36
2020-09-30,80.92,$10.02,8.08
2020-06-30,90.4,$10.74,8.42
2020-03-31,89.0,$12.34,7.21
2019-12-31,144.94,$13.76,10.53
2019-09-30,133.98,$13.92,9.63
2019-06-30,143.27,$13.98,10.25
2019-03-31,131.45,$13.90,9.46
2018-12-31,119.13,$12.78,9.32
2018-09-30,136.15,$11.03,12.34
2018-06-30,140.0,$9.71,14.42
2018-03-31,150.99,$8.80,17.16
2017-12-31,139.49,$8.69,16.05
2017-09-30,130.79,$8.66,15.1
2017-06-30,130.87,$8.55,15.31
2017-03-31,124.45,$8.18,15.21
2016-12-31,125.25,$7.79,16.08
2016-09-30,92.51,$7.46,12.4
2016-06-30,93.65,$7.29,12.85
2016-03-31,87.41,$7.29,11.99
2015-12-31,94.81,$7.21,13.15
2015-09-30,94.88,$7.48,12.68
2015-06-30,96.63,$7.46,12.95
2015-03-31,97.67,$7.46,13.09
2014-12-31,96.05,$7.42,12.95
2014-09-30,93.75,$7.06,13.28
2014-06-30,93.8,$7.26,12.92
2014-03-31,91.19,$7.83,11.65
2013-12-31,86.99,$8.20,10.61
2013-09-30,83.13,$8.80,9.45
2013-06-30,82.49,$8.86,9.31
2013-03-31,75.65,$8.02,9.43
2012-12-31,71.72,$7.54,9.51
2012-09-30,68.82,$6.42,10.72
2012-06-30,59.24,$5.57,10.63
2012-03-31,61.79,$6.28,9.84
2011-12-31,53.83,$6.37,8.45
2011-09-30,48.79,$6.92,7.05
2011-06-30,60.83,$7.08,8.59
2011-03-31,60.7,$6.12,9.92
2010-12-31,59.25,$5.69,10.41
2010-09-30,55.19,$5.14,10.74
2010-06-30,56.83,$4.63,12.28
2010-03-31,52.66,$3.53,14.92
2009-12-31,43.98,$2.86,15.38
