Soluna Holdings PE Ratio Historical Data,Soluna Holdings PE Ratio Historical Data,Soluna Holdings PE Ratio Historical Data,Soluna Holdings PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,1.0,,0.0
2024-09-30,3.13,$-14.56,0.0
2024-06-30,6.09,$-17.67,0.0
2024-03-31,2.88,$-23.20,0.0
2023-12-31,4.0,$-29.33,0.0
2023-09-30,0.21,$-21.65,0.0
2023-06-30,0.2,$-115.75,0.0
2023-03-31,0.27,$-121.50,0.0
2022-12-31,0.26,$-130.00,0.0
2022-09-30,1.71,$-130.00,0.0
2022-06-30,4.07,$-33.00,0.0
2022-03-31,11.01,$-21.25,0.0
2021-12-31,10.76,$-5.75,0.0
2021-09-30,8.02,$-5.75,0.0
2021-06-30,7.5,$-0.25,0.0
2021-03-31,12.0,$3.75,3.2
2020-12-31,2.02,$5.25,0.38
