DoubleDown Interactive PE Ratio Historical Data,DoubleDown Interactive PE Ratio Historical Data,DoubleDown Interactive PE Ratio Historical Data,DoubleDown Interactive PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,9.81,,4.27
2024-09-30,16.5,$2.30,7.17
2024-06-30,13.06,$2.33,5.6
2024-03-31,10.88,$2.15,5.06
2023-12-31,7.35,$2.02,3.64
2023-09-30,8.48,$-2.41,0.0
2023-06-30,9.57,$-3.43,0.0
2023-03-31,7.98,$-4.61,0.0
2022-12-31,8.45,$-4.72,0.0
2022-09-30,9.23,$-0.45,0.0
2022-06-30,9.66,$0.53,18.22
