Skillz PE Ratio Historical Data,Skillz PE Ratio Historical Data,Skillz PE Ratio Historical Data,Skillz PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,4.62,,0.0
2024-09-30,5.62,$-2.25,0.0
2024-06-30,7.18,$-2.62,0.0
2024-03-31,6.49,$-5.11,0.0
2023-12-31,6.24,$-5.46,0.0
2023-09-30,5.1,$-11.22,0.0
2023-06-30,9.1,$-13.45,0.0
2023-03-31,11.86,$-15.40,0.0
2022-12-31,10.13,$-21.00,0.0
2022-09-30,20.4,$-19.20,0.0
2022-06-30,24.8,$-12.20,0.0
2022-03-31,60.0,$-13.40,0.0
2021-12-31,148.8,$-9.00,0.0
2021-09-30,196.4,$-6.80,0.0
2021-06-30,434.4,$-10.00,0.0
2021-03-31,380.8,$-5.80,0.0
