Conduent PE Ratio Historical Data,Conduent PE Ratio Historical Data,Conduent PE Ratio Historical Data,Conduent PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,2.97,,1.38
2024-12-31,4.04,$2.16,1.87
2024-09-30,4.03,$2.27,1.78
2024-06-30,3.26,$0.21,15.52
2024-03-31,3.38,$-0.90,0.0
2023-12-31,3.65,$-1.40,0.0
2023-09-30,3.48,$-2.97,0.0
2023-06-30,3.4,$-1.57,0.0
2023-03-31,3.43,$-1.54,0.0
2022-12-31,4.05,$-0.89,0.0
2022-09-30,3.34,$0.46,7.26
2022-06-30,4.32,$0.44,9.82
2022-03-31,5.16,$0.49,10.53
2021-12-31,5.34,$-0.18,0.0
2021-09-30,6.59,$-0.05,0.0
2021-06-30,7.5,$-0.13,0.0
2021-03-31,6.66,$-0.42,0.0
2020-12-31,4.8,$-0.60,0.0
2020-09-30,3.18,$-3.29,0.0
2020-06-30,2.39,$-3.34,0.0
2020-03-31,2.45,$-8.03,0.0
2019-12-31,6.2,$-9.28,0.0
2019-09-30,6.22,$-7.21,0.0
2019-06-30,9.59,$-8.28,0.0
2019-03-31,13.83,$-3.30,0.0
2018-12-31,10.63,$-2.07,0.0
2018-09-30,22.52,$-0.40,0.0
2018-06-30,18.17,$0.67,27.12
2018-03-31,18.64,$0.60,31.07
2017-12-31,16.16,$0.82,19.71
