Benson Hill PE Ratio Historical Data,Benson Hill PE Ratio Historical Data,Benson Hill PE Ratio Historical Data,Benson Hill PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,0.38,,0.0
2024-09-30,7.2,$-18.56,0.0
2024-06-30,0.15,$-17.57,0.0
2024-03-31,0.2,$-24.48,0.0
2023-12-31,0.17,$-21.33,0.0
2023-09-30,0.33,$-24.48,0.0
2023-06-30,1.3,$-26.92,0.0
2023-03-31,1.15,$-21.68,0.0
2022-12-31,2.55,$-24.48,0.0
2022-09-30,2.74,$-25.52,0.0
2022-06-30,2.74,$-30.07,0.0
2022-03-31,3.23,$-24.83,0.0
2021-12-31,7.29,$-21.33,0.0
