Stitch Fix PE Ratio Historical Data,Stitch Fix PE Ratio Historical Data,Stitch Fix PE Ratio Historical Data,Stitch Fix PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,3.52,,0.0
2025-01-31,4.71,$-0.53,0.0
2024-10-31,3.16,$-0.83,0.0
2024-07-31,4.71,$-1.08,0.0
2024-04-30,2.12,$-1.02,0.0
2024-01-31,3.2,$-1.03,0.0
2023-10-31,3.28,$-1.31,0.0
2023-07-31,5.11,$-1.51,0.0
2023-04-30,3.41,$-2.16,0.0
2023-01-31,5.21,$-2.69,0.0
2022-10-31,4.0,$-2.39,0.0
2022-07-31,5.97,$-1.91,0.0
2022-04-30,9.5,$-0.83,0.0
2022-01-31,16.43,$-0.29,0.0
2021-10-31,34.6,$-0.21,0.0
2021-07-31,53.92,$-0.10,0.0
2021-04-30,43.32,$-0.73,0.0
2021-01-31,95.44,$-0.88,0.0
2020-10-31,34.43,$-0.57,0.0
2020-07-31,22.15,$-0.66,0.0
2020-04-30,16.05,$-0.15,0.0
2020-01-31,22.9,$0.25,91.6
2019-10-31,22.86,$0.26,87.92
2019-07-31,26.08,$0.36,72.44
2019-04-30,26.65,$0.47,56.7
2019-01-31,22.45,$0.49,45.82
2018-10-31,26.36,$0.39,67.59
