First Financial Bancorp PE Ratio Historical Data,First Financial Bancorp PE Ratio Historical Data,First Financial Bancorp PE Ratio Historical Data,First Financial Bancorp PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,24.75,,10.31
2024-12-31,26.88,$2.40,11.2
2024-09-30,25.03,$2.32,10.79
2024-06-30,21.84,$2.43,8.99
2024-03-31,21.81,$2.48,8.79
2023-12-31,22.86,$2.69,8.5
2023-09-30,18.65,$2.82,6.61
2023-06-30,19.24,$2.75,7.0
2023-03-31,20.24,$2.61,7.76
2022-12-31,22.32,$2.31,9.66
2022-09-30,19.25,$2.08,9.26
2022-06-30,17.53,$2.12,8.27
2022-03-31,20.61,$2.09,9.86
2021-12-31,21.59,$2.13,10.14
2021-09-30,20.53,$2.12,9.68
2021-06-30,20.52,$1.91,10.74
2021-03-31,20.65,$1.77,11.67
2020-12-31,14.93,$1.58,9.45
2020-09-30,10.08,$1.58,6.38
2020-06-30,11.47,$1.67,6.87
2020-03-31,12.11,$1.82,6.65
2019-12-31,20.43,$2.00,10.21
2019-09-30,19.47,$2.07,9.41
2019-06-30,19.08,$2.07,9.22
2019-03-31,18.77,$1.91,9.83
2018-12-31,18.36,$1.93,9.51
2018-09-30,22.82,$1.77,12.89
2018-06-30,23.4,$1.70,13.76
2018-03-31,22.27,$1.70,13.1
2017-12-31,19.86,$1.60,12.41
2017-09-30,19.59,$1.58,12.4
2017-06-30,20.6,$1.51,13.64
2017-03-31,20.28,$1.50,13.52
2016-12-31,20.89,$1.43,14.61
2016-09-30,15.94,$1.37,11.64
2016-06-30,14.09,$1.30,10.84
2016-03-31,13.07,$1.25,10.45
2015-12-31,12.87,$1.22,10.55
2015-09-30,13.47,$1.20,11.23
2015-06-30,12.56,$1.16,10.83
2015-03-31,12.35,$1.13,10.93
2014-12-31,12.78,$1.10,11.62
2014-09-30,10.79,$0.87,12.4
2014-06-30,11.62,$0.87,13.36
2014-03-31,12.03,$0.86,13.99
2013-12-31,11.56,$0.84,13.76
2013-09-30,9.97,$1.05,9.5
2013-06-30,9.62,$1.07,8.99
2013-03-31,10.21,$1.10,9.28
2012-12-31,9.13,$1.15,7.94
2012-09-30,10.36,$1.18,8.78
2012-06-30,9.61,$1.17,8.22
2012-03-31,10.22,$1.14,8.96
2011-12-31,9.64,$1.14,8.46
2011-09-30,7.86,$1.07,7.35
2011-06-30,9.35,$1.07,8.74
2011-03-31,9.28,$1.10,8.44
2010-12-31,10.2,$0.98,10.41
2010-09-30,9.16,$0.99,9.25
2010-06-30,8.16,$5.10,1.6
2010-03-31,9.64,$4.81,2.0
2009-12-31,7.85,$4.78,1.64
