Graphic Packaging Holding PE Ratio Historical Data,Graphic Packaging Holding PE Ratio Historical Data,Graphic Packaging Holding PE Ratio Historical Data,Graphic Packaging Holding PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,25.99,,12.03
2024-12-31,27.16,$2.16,12.57
2024-09-30,29.49,$2.34,12.6
2024-06-30,26.03,$2.34,11.13
2024-03-31,28.88,$2.21,13.07
2023-12-31,24.31,$2.35,10.34
2023-09-30,21.88,$2.21,9.9
2023-06-30,23.5,$2.28,10.31
2023-03-31,24.83,$2.00,12.42
2022-12-31,21.59,$1.68,12.85
2022-09-30,19.06,$1.31,14.55
2022-06-30,19.73,$0.93,21.22
2022-03-31,19.22,$0.85,22.61
2021-12-31,18.63,$0.69,27.0
2021-09-30,18.12,$0.80,22.65
2021-06-30,17.2,$0.79,21.77
2021-03-31,17.14,$0.85,20.17
2020-12-31,15.93,$0.62,25.69
2020-09-30,13.18,$0.49,26.91
2020-06-30,13.02,$0.44,29.6
2020-03-31,11.29,$0.47,24.03
2019-12-31,15.32,$0.70,21.89
2019-09-30,13.51,$0.74,18.26
2019-06-30,12.74,$0.86,14.81
2019-03-31,11.45,$0.80,14.31
2018-12-31,9.59,$0.71,13.5
2018-09-30,12.54,$1.12,11.19
2018-06-30,12.92,$0.97,13.31
2018-03-31,13.59,$0.95,14.31
2017-12-31,13.62,$0.97,14.04
2017-09-30,12.23,$0.52,23.53
2017-06-30,12.02,$0.55,21.85
2017-03-31,11.16,$0.65,17.17
2016-12-31,10.76,$0.71,15.15
2016-09-30,11.99,$0.77,15.57
2016-06-30,10.71,$0.77,13.91
2016-03-31,10.93,$0.70,15.61
2015-12-31,10.87,$0.69,15.75
2015-09-30,10.79,$0.65,16.61
2015-06-30,11.71,$0.63,18.59
2015-03-31,12.18,$0.34,35.83
2014-12-31,11.37,$0.28,40.62
2014-09-30,10.38,$0.28,37.07
2014-06-30,9.77,$0.25,39.08
2014-03-31,8.48,$0.43,19.73
2013-12-31,8.02,$0.42,19.09
2013-09-30,7.15,$0.35,20.42
2013-06-30,6.46,$0.32,20.2
2013-03-31,6.25,$0.37,16.9
2012-12-31,5.39,$0.31,17.4
2012-09-30,4.85,$0.92,5.27
2012-06-30,4.59,$0.70,6.56
2012-03-31,4.61,$0.67,6.88
2011-12-31,3.56,$0.71,5.01
2011-09-30,2.88,$0.10,28.81
2011-06-30,4.54,$0.27,16.82
2011-03-31,4.53,$0.09,50.29
2010-12-31,3.25,$0.03,108.28
2010-09-30,2.79,$0.06,46.48
2010-06-30,2.63,$0.11,23.91
2010-03-31,3.01,$0.27,11.16
2009-12-31,2.9,$0.17,17.04
