FARO Technologies PE Ratio Historical Data,FARO Technologies PE Ratio Historical Data,FARO Technologies PE Ratio Historical Data,FARO Technologies PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,29.46,,0.0
2024-12-31,25.36,$-0.48,0.0
2024-09-30,19.14,$-0.35,0.0
2024-06-30,16.0,$-0.79,0.0
2024-03-31,21.51,$-2.25,0.0
2023-12-31,22.53,$-2.99,0.0
2023-09-30,15.23,$-3.19,0.0
2023-06-30,16.2,$-3.07,0.0
2023-03-31,24.61,$-2.05,0.0
2022-12-31,29.41,$-1.46,0.0
2022-09-30,27.44,$-3.08,0.0
2022-06-30,30.83,$-2.95,0.0
2022-03-31,51.92,$-2.54,0.0
2021-12-31,70.02,$-2.19,0.0
2021-09-30,65.81,$1.07,61.5
2021-06-30,77.77,$1.11,70.06
2021-03-31,86.57,$0.67,129.21
2020-12-31,70.63,$0.01,7063.0
2020-09-30,60.98,$-4.36,0.0
2020-06-30,53.6,$-4.55,0.0
2020-03-31,44.5,$-4.42,0.0
2019-12-31,50.35,$-3.57,0.0
2019-09-30,48.35,$-0.39,0.0
2019-06-30,52.58,$-0.18,0.0
2019-03-31,43.91,$0.26,168.88
2018-12-31,40.64,$0.28,145.14
2018-09-30,64.35,$-0.71,0.0
2018-06-30,54.35,$-0.46,0.0
2018-03-31,58.4,$-0.75,0.0
2017-12-31,47.0,$-0.87,0.0
2017-09-30,38.25,0,0.0
2017-06-30,37.8,$-0.03,0.0
2017-03-31,35.75,$0.39,91.67
2016-12-31,36.0,$0.67,53.73
2016-09-30,35.95,$0.98,36.68
2016-06-30,33.83,$0.86,39.34
2016-03-31,32.21,$0.90,35.79
2015-12-31,29.52,$0.75,39.36
2015-09-30,35.0,$0.87,40.23
2015-06-30,46.7,$1.56,29.94
2015-03-31,62.13,$1.68,36.98
2014-12-31,62.68,$1.93,32.48
2014-09-30,50.75,$1.77,28.67
2014-06-30,49.12,$1.42,34.59
2014-03-31,53.0,$1.27,41.73
2013-12-31,58.3,$1.25,46.64
2013-09-30,42.17,$1.23,34.28
2013-06-30,33.82,$1.15,29.41
2013-03-31,43.39,$1.22,35.57
2012-12-31,35.68,$1.34,26.63
2012-09-30,41.32,$1.44,28.69
2012-06-30,42.08,$1.61,26.14
2012-03-31,58.33,$1.58,36.92
2011-12-31,46.0,$1.39,33.09
2011-09-30,31.55,$1.12,28.17
2011-06-30,43.8,$0.88,49.77
2011-03-31,40.0,$0.74,54.05
2010-12-31,32.84,$0.67,49.01
2010-09-30,21.81,$0.34,64.15
2010-06-30,18.71,$0.12,155.92
2010-03-31,25.75,$-0.12,0.0
2009-12-31,21.44,$-0.66,0.0
