Suzano S.A PE Ratio Historical Data,Suzano S.A PE Ratio Historical Data,Suzano S.A PE Ratio Historical Data,Suzano S.A PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,9.83,,15.6
2024-09-30,9.7,$0.63,15.39
2024-06-30,9.96,$0.05,199.2
2024-03-31,12.39,$1.40,8.85
2023-12-31,11.02,$2.13,5.17
2023-09-30,10.19,$2.51,4.06
2023-06-30,8.74,$3.42,2.56
2023-03-31,7.78,$2.66,2.93
2022-12-31,8.76,$3.36,2.61
2022-09-30,7.54,$2.59,2.91
2022-06-30,8.66,$1.66,5.22
2022-03-31,10.5,$3.03,3.47
2021-12-31,9.65,$1.20,8.04
2021-09-30,8.93,$1.70,5.25
2021-06-30,10.75,$1.68,6.4
2021-03-31,10.91,0,0.0
2020-12-31,9.99,$-1.88,0.0
2020-09-30,7.3,$-2.48,0.0
2020-06-30,6.04,$-2.97,0.0
2020-03-31,6.14,$-2.56,0.0
2019-12-31,8.79,$-0.56,0.0
