Bio-Techne Corp PE Ratio Historical Data,Bio-Techne Corp PE Ratio Historical Data,Bio-Techne Corp PE Ratio Historical Data,Bio-Techne Corp PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,60.34,,60.95
2024-12-31,72.03,$0.99,72.76
2024-09-30,79.85,$0.94,84.94
2024-06-30,71.5,$1.04,68.75
2024-03-31,70.17,$1.26,55.69
2023-12-31,76.83,$1.38,55.67
2023-09-30,67.68,$1.52,44.53
2023-06-30,81.09,$1.76,46.01
2023-03-31,73.62,$1.67,44.09
2022-12-31,82.16,$1.61,51.03
2022-09-30,70.32,$1.79,39.39
2022-06-30,85.75,$1.66,51.82
2022-03-31,107.04,$1.37,78.13
2021-12-31,127.77,$1.28,99.82
2021-09-30,119.61,$1.08,110.49
2021-06-30,111.06,$0.87,128.02
2021-03-31,94.13,$1.15,82.21
2020-12-31,78.2,$1.10,71.42
2020-09-30,60.94,$1.56,39.0
2020-06-30,64.88,$1.45,44.82
2020-03-31,46.54,$1.18,39.35
2019-12-31,53.79,$1.24,43.38
2019-09-30,47.87,$0.60,80.12
2019-06-30,50.92,$0.62,82.46
2019-03-31,48.42,$0.78,62.07
2018-12-31,35.23,$0.62,56.6
2018-09-30,49.6,$0.83,59.58
2018-06-30,35.89,$0.83,43.5
2018-03-31,36.56,$0.75,48.75
2017-12-31,31.29,$0.76,41.03
2017-09-30,29.12,$0.48,60.35
2017-06-30,28.23,$0.49,58.2
2017-03-31,24.35,$0.47,52.36
2016-12-31,24.56,$0.53,46.77
2016-09-30,26.07,$0.66,39.8
2016-06-30,26.77,$0.70,38.24
2016-03-31,22.36,$0.71,31.72
2015-12-31,21.21,$0.67,31.9
2015-09-30,21.72,$0.72,30.37
2015-06-30,23.06,$0.72,31.92
2015-03-31,23.41,$0.73,32.29
2014-12-31,21.49,$0.78,27.73
2014-09-30,21.68,$0.72,30.01
2014-06-30,21.39,$0.75,28.61
2014-03-31,19.66,$0.76,25.87
2013-12-31,21.72,$0.77,28.12
2013-09-30,18.3,$0.78,23.62
2013-06-30,15.73,$0.77,20.57
2013-03-31,15.38,$0.76,20.31
2012-12-31,15.43,$0.75,20.64
2012-09-30,16.17,$0.75,21.56
2012-06-30,16.61,$0.76,21.85
2012-03-31,15.63,$0.77,20.43
2011-12-31,15.16,$0.76,19.94
2011-09-30,15.04,$0.76,19.72
2011-06-30,18.36,$0.76,24.32
2011-03-31,15.72,$0.74,21.31
2010-12-31,14.36,$0.75,19.27
2010-09-30,13.44,$0.73,18.34
2010-06-30,12.45,$0.74,16.94
2010-03-31,13.72,$0.73,18.74
2009-12-31,14.74,$0.70,21.05
