Alector PE Ratio Historical Data,Alector PE Ratio Historical Data,Alector PE Ratio Historical Data,Alector PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,1.3,,0.0
2024-12-31,1.89,$-1.23,0.0
2024-09-30,4.66,$-1.70,0.0
2024-06-30,4.54,$-1.80,0.0
2024-03-31,6.02,$-1.38,0.0
2023-12-31,7.98,$-1.55,0.0
2023-09-30,6.48,$-1.69,0.0
2023-06-30,6.01,$-1.72,0.0
2023-03-31,6.19,$-1.62,0.0
2022-12-31,9.23,$-1.61,0.0
2022-09-30,9.46,$-1.66,0.0
2022-06-30,10.16,$0.39,26.05
2022-03-31,14.25,$-0.42,0.0
2021-12-31,20.65,$-0.54,0.0
2021-09-30,22.82,$-0.52,0.0
2021-06-30,20.83,$-2.68,0.0
2021-03-31,20.14,$-2.57,0.0
2020-12-31,15.13,$-2.44,0.0
2020-09-30,10.54,$-2.23,0.0
2020-06-30,24.44,$-2.03,0.0
2020-03-31,24.13,$-1.81,0.0
2019-12-31,17.23,$-1.70,0.0
