ConnectOne Bancorp PE Ratio Historical Data,ConnectOne Bancorp PE Ratio Historical Data,ConnectOne Bancorp PE Ratio Historical Data,ConnectOne Bancorp PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,23.59,,13.33
2024-12-31,22.91,$1.77,12.94
2024-09-30,24.88,$1.74,14.3
2024-06-30,18.61,$1.84,10.12
2024-03-31,19.04,$1.89,10.08
2023-12-31,22.18,$2.07,10.72
2023-09-30,17.11,$2.40,7.13
2023-06-30,15.79,$2.59,6.1
2023-03-31,16.62,$2.86,5.81
2022-12-31,22.61,$3.02,7.49
2022-09-30,21.41,$3.02,7.09
2022-06-30,22.57,$3.12,7.23
2022-03-31,29.38,$3.15,9.33
2021-12-31,29.9,$3.22,9.29
2021-09-30,27.33,$3.07,8.9
2021-06-30,23.75,$2.89,8.22
2021-03-31,22.91,$2.45,9.35
2020-12-31,17.82,$1.78,10.01
2020-09-30,12.6,$1.73,7.28
2020-06-30,14.35,$1.72,8.34
2020-03-31,11.89,$1.89,6.29
2019-12-31,22.67,$2.07,10.95
2019-09-30,19.49,$2.06,9.46
2019-06-30,19.81,$2.06,9.62
2019-03-31,17.15,$2.06,8.33
2018-12-31,16.02,$1.86,8.61
2018-09-30,20.53,$1.61,12.75
2018-06-30,21.46,$1.41,15.22
2018-03-31,24.75,$1.11,22.3
2017-12-31,22.07,$1.35,16.35
2017-09-30,21.02,$0.95,22.13
2017-06-30,19.21,$0.93,20.65
2017-03-31,20.59,$1.05,19.61
2016-12-31,21.97,$1.02,21.54
2016-09-30,15.23,$1.40,10.88
2016-06-30,13.17,$1.37,9.61
2016-03-31,13.66,$1.36,10.05
2015-12-31,15.55,$1.36,11.43
2015-09-30,15.99,$1.32,12.11
2015-06-30,17.78,$1.02,17.43
2015-03-31,16.01,$0.93,17.21
2014-12-31,15.56,$0.86,18.1
2014-09-30,15.54,$0.89,17.46
2014-06-30,15.63,$1.14,13.71
2014-03-31,15.38,$1.18,13.03
2013-12-31,15.12,$1.21,12.5
2013-09-30,11.42,$1.18,9.68
2013-06-30,10.12,$1.14,8.88
2013-03-31,9.87,$1.10,8.97
2012-12-31,9.15,$1.05,8.72
2012-09-30,9.38,$0.98,9.57
2012-06-30,8.81,$0.93,9.47
2012-03-31,7.83,$0.88,8.9
2011-12-31,7.6,$0.81,9.39
2011-09-30,7.49,$0.76,9.85
2011-06-30,8.08,$0.68,11.88
2011-03-31,7.4,$0.60,12.33
2010-12-31,6.26,$0.43,14.57
2010-09-30,5.89,$0.34,17.32
2010-06-30,5.78,$0.31,18.65
2010-03-31,6.31,$0.26,24.29
2009-12-31,6.75,$0.30,22.52
