EGain PE Ratio Historical Data,EGain PE Ratio Historical Data,EGain PE Ratio Historical Data,EGain PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,4.82,,34.43
2024-12-31,6.23,$0.14,44.5
2024-09-30,5.1,$0.19,26.84
2024-06-30,6.31,$0.25,25.24
2024-03-31,6.45,$0.28,23.04
2023-12-31,8.33,$0.22,37.86
2023-09-30,6.13,$0.15,40.87
2023-06-30,7.49,$0.07,107.0
2023-03-31,7.59,$-0.06,0.0
2022-12-31,9.03,$-0.07,0.0
2022-09-30,7.35,$-0.10,0.0
2022-06-30,9.75,$-0.08,0.0
2022-03-31,11.58,$0.03,386.0
2021-12-31,9.98,$0.09,110.89
2021-09-30,10.2,$0.17,60.0
2021-06-30,11.48,$0.21,54.67
2021-03-31,9.49,$0.22,43.14
2020-12-31,11.81,$0.24,49.21
2020-09-30,14.17,$0.25,56.68
2020-06-30,11.11,$0.23,48.3
2020-03-31,7.33,$0.17,43.12
2019-12-31,7.92,$0.16,49.5
2019-09-30,8.01,$0.17,47.09
2019-06-30,8.14,$0.15,54.27
2019-03-31,10.45,$0.12,87.08
2018-12-31,6.57,$0.07,93.86
2018-09-30,8.1,$-0.03,0.0
2018-06-30,15.1,$-0.07,0.0
2018-03-31,7.95,$-0.05,0.0
2017-12-31,5.25,$-0.14,0.0
2017-09-30,2.7,$-0.15,0.0
2017-06-30,1.65,$-0.22,0.0
2017-03-31,1.45,$-0.17,0.0
2016-12-31,2.1,$-0.19,0.0
2016-09-30,3.09,$-0.20,0.0
2016-06-30,2.82,$-0.23,0.0
2016-03-31,3.55,$-0.39,0.0
2015-12-31,4.26,$-0.37,0.0
2015-09-30,3.97,$-0.52,0.0
2015-06-30,5.01,$-0.46,0.0
2015-03-31,3.3,$-0.39,0.0
2014-12-31,5.18,$-0.34,0.0
2014-09-30,6.0,$-0.19,0.0
2014-06-30,6.77,$-0.21,0.0
2014-03-31,7.06,$-0.10,0.0
2013-12-31,10.24,$-0.02,0.0
2013-09-30,15.09,$0.05,301.8
2013-06-30,9.62,$0.01,962.0
2013-03-31,8.66,$-0.20,0.0
2012-12-31,4.5,$-0.29,0.0
2012-09-30,4.52,$-0.34,0.0
2012-06-30,5.45,$-0.20,0.0
2012-03-31,6.0,$0.02,300.0
2011-12-31,6.91,$0.09,76.78
2011-09-30,4.73,$0.16,29.56
2011-06-30,2.95,$0.36,8.19
2011-03-31,2.8,$0.21,13.33
2010-12-31,1.35,$0.18,7.5
2010-09-30,0.82,$0.18,4.56
2010-06-30,0.78,0,0.0
2010-03-31,0.92,$0.11,8.36
2009-12-31,1.04,$0.11,9.45
