Galmed Pharmaceuticals PE Ratio Historical Data,Galmed Pharmaceuticals PE Ratio Historical Data,Galmed Pharmaceuticals PE Ratio Historical Data,Galmed Pharmaceuticals PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,2.29,,0.0
2024-09-30,6.86,$-16.66,0.0
2024-06-30,3.3,$-17.23,0.0
2024-03-31,4.16,$-28.81,0.0
2023-12-31,5.46,$-39.14,0.0
2023-09-30,7.44,$-45.37,0.0
2023-06-30,35.88,$-80.28,0.0
2023-03-31,76.77,$-95.88,0.0
2022-12-31,90.0,$-125.99,0.0
2022-09-30,56.0,$-161.98,0.0
2022-06-30,117.0,$-179.98,0.0
2022-03-31,286.2,$-212.38,0.0
2021-12-31,327.6,$-237.58,0.0
2021-09-30,502.2,$-269.97,0.0
2021-06-30,547.2,$-271.77,0.0
2021-03-31,617.4,$-259.17,0.0
2020-12-31,559.8,$-242.98,0.0
2020-09-30,635.4,$-226.78,0.0
2020-06-30,860.4,$-206.98,0.0
2020-03-31,622.8,$-196.18,0.0
2019-12-31,1040.4,$-174.58,0.0
2019-09-30,860.4,$-138.59,0.0
2019-06-30,1323.0,$-109.79,0.0
2019-03-31,1470.6,$-104.39,0.0
2018-12-31,1229.4,$-104.39,0.0
2018-09-30,2444.4,$-118.79,0.0
2018-06-30,2142.0,$-151.19,0.0
2018-03-31,1002.6,$-160.18,0.0
2017-12-31,1647.0,$-176.38,0.0
2017-09-30,1645.2,$-199.78,0.0
2017-06-30,1116.18,$-219.58,0.0
2017-03-31,880.2,$-250.18,0.0
2016-12-31,631.8,$-268.17,0.0
2016-09-30,799.2,$-248.38,0.0
2016-06-30,808.2,$-228.58,0.0
2016-03-31,887.4,$-196.18,0.0
2015-12-31,1369.8,$-170.98,0.0
2015-09-30,1337.4,$-149.39,0.0
2015-06-30,1810.8,$-107.99,0.0
2015-03-31,1695.6,$-97.19,0.0
2014-12-31,1044.0,$-106.19,0.0
