Tactile Systems Technology PE Ratio Historical Data,Tactile Systems Technology PE Ratio Historical Data,Tactile Systems Technology PE Ratio Historical Data,Tactile Systems Technology PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,13.69,,19.56
2024-12-31,17.13,$0.70,24.47
2024-09-30,14.61,$0.65,22.48
2024-06-30,11.94,$1.38,8.65
2024-03-31,16.25,$1.20,13.54
2023-12-31,14.3,$1.20,11.92
2023-09-30,14.05,$1.08,13.01
2023-06-30,24.93,$0.03,831.0
2023-03-31,16.42,$-0.20,0.0
2022-12-31,11.48,$-0.89,0.0
2022-09-30,7.79,$-1.50,0.0
2022-06-30,7.3,$-1.56,0.0
2022-03-31,20.16,$-1.26,0.0
2021-12-31,19.03,$-0.60,0.0
2021-09-30,44.45,$0.39,113.97
2021-06-30,52.0,$0.68,76.47
2021-03-31,54.49,$-0.11,0.0
2020-12-31,44.94,$-0.06,0.0
2020-09-30,36.59,$-0.45,0.0
2020-06-30,41.43,$-0.45,0.0
2020-03-31,40.16,$0.41,97.95
2019-12-31,67.51,$0.56,120.55
2019-09-30,42.32,$0.46,92.0
2019-06-30,56.92,$0.43,132.37
2019-03-31,52.72,$0.42,125.52
2018-12-31,45.55,$0.34,133.97
2018-09-30,71.05,$0.34,208.97
2018-06-30,52.0,$0.32,162.5
2018-03-31,31.8,$0.39,81.54
2017-12-31,28.98,$0.30,96.6
2017-09-30,30.95,$0.31,99.84
2017-06-30,28.58,$0.25,114.32
