Textron PE Ratio Historical Data,Textron PE Ratio Historical Data,Textron PE Ratio Historical Data,Textron PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,73.49,,17.05
2024-12-31,76.49,$4.31,17.75
2024-09-30,88.56,$4.55,19.46
2024-06-30,85.82,$4.72,18.18
2024-03-31,95.86,$4.68,20.48
2023-12-31,80.35,$4.57,17.58
2023-09-30,78.05,$4.64,16.82
2023-06-30,67.53,$4.35,15.52
2023-03-31,70.51,$4.05,17.41
2022-12-31,70.66,$4.01,17.62
2022-09-30,58.13,$3.87,15.02
2022-06-30,60.91,$3.63,16.78
2022-03-31,74.16,$3.43,21.62
2021-12-31,76.69,$3.30,23.24
2021-09-30,69.33,$3.40,20.39
2021-06-30,68.28,$3.08,22.17
2021-03-31,55.66,$1.88,29.61
2020-12-31,47.95,$1.35,35.52
2020-09-30,35.79,$1.19,30.08
2020-06-30,32.62,$1.64,19.89
2020-03-31,26.42,$2.97,8.9
2019-12-31,44.15,$3.51,12.58
2019-09-30,48.44,$3.66,13.23
2019-06-30,52.46,$4.97,10.55
2019-03-31,50.08,$4.91,10.2
2018-12-31,45.45,$4.87,9.33
2018-09-30,70.6,$3.45,20.46
2018-06-30,65.09,$1.79,36.36
2018-03-31,58.22,$1.49,39.07
2017-12-31,55.85,$1.14,48.99
2017-09-30,53.16,$2.32,22.91
2017-06-30,46.45,$3.27,14.2
2017-03-31,46.91,$3.35,14.0
2016-12-31,47.85,$3.53,13.55
2016-09-30,39.15,$3.57,10.97
2016-06-30,35.99,$2.65,13.58
2016-03-31,35.87,$2.60,13.8
2015-12-31,41.31,$2.51,16.46
2015-09-30,37.0,$2.45,15.1
2015-06-30,43.84,$2.39,18.34
2015-03-31,43.53,$2.30,18.93
2014-12-31,41.33,$2.14,19.31
2014-09-30,35.31,$1.97,17.92
2014-06-30,37.54,$1.75,21.45
2014-03-31,38.5,$1.64,23.48
2013-12-31,36.01,$1.75,20.58
2013-09-30,27.03,$1.67,16.18
2013-06-30,25.48,$1.83,13.93
2013-03-31,29.14,$2.01,14.5
2012-12-31,24.22,$2.00,12.11
2012-09-30,25.54,$1.42,17.99
2012-06-30,24.26,$1.38,17.58
2012-03-31,27.12,$1.09,24.88
2011-12-31,18.0,$0.78,23.08
2011-09-30,17.16,$1.04,16.5
2011-06-30,22.94,$0.40,57.34
2011-03-31,26.58,$0.38,69.96
2010-12-31,22.93,$0.26,88.18
2010-09-30,19.92,$-0.16,0.0
2010-06-30,16.43,$0.02,821.34
2010-03-31,20.53,$-0.47,0.0
2009-12-31,18.17,$-0.09,0.0
