Sight Sciences PE Ratio Historical Data,Sight Sciences PE Ratio Historical Data,Sight Sciences PE Ratio Historical Data,Sight Sciences PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,2.94,,0.0
2024-12-31,3.64,$-1.03,0.0
2024-09-30,6.3,$-1.02,0.0
2024-06-30,6.67,$-1.07,0.0
2024-03-31,5.28,$-1.12,0.0
2023-12-31,5.16,$-1.14,0.0
2023-09-30,3.37,$-1.27,0.0
2023-06-30,8.28,$-1.46,0.0
2023-03-31,8.74,$-1.66,0.0
2022-12-31,12.21,$-1.80,0.0
2022-09-30,6.35,$-1.79,0.0
2022-06-30,8.99,$-1.76,0.0
