Entergy PE Ratio Historical Data,Entergy PE Ratio Historical Data,Entergy PE Ratio Historical Data,Entergy PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,84.64,,34.76
2024-12-31,75.82,$2.44,31.14
2024-09-30,65.27,$4.11,15.9
2024-06-30,52.56,$4.18,12.57
2024-03-31,51.37,$4.99,10.31
2023-12-31,48.62,$5.55,8.77
2023-09-30,43.93,$3.48,12.62
2023-06-30,45.73,$3.28,13.94
2023-03-31,50.09,$2.75,18.21
2022-12-31,51.77,$2.70,19.21
2022-09-30,45.86,$3.08,14.89
2022-06-30,50.9,$3.03,16.83
2022-03-31,52.31,$2.62,19.97
2021-12-31,50.0,$2.77,18.05
2021-09-30,43.65,$3.10,14.1
2021-06-30,43.44,$3.08,14.13
2021-03-31,42.96,$3.99,10.78
2020-12-31,42.69,$3.45,12.37
2020-09-30,41.77,$3.45,12.12
2020-06-30,39.41,$3.06,12.88
2020-03-31,39.08,$2.78,14.08
2019-12-31,49.47,$3.14,15.76
2019-09-30,48.08,$2.00,24.04
2019-06-30,41.81,$2.55,16.4
2019-03-31,38.84,$2.61,14.88
2018-12-31,34.61,$2.32,14.95
2018-09-30,32.28,$1.17,27.71
2018-06-30,31.8,$0.81,39.26
2018-03-31,30.66,$1.28,24.05
2017-12-31,31.29,$1.14,27.45
2017-09-30,29.06,$-2.47,0.0
2017-06-30,28.89,$-2.50,0.0
2017-03-31,28.26,$-2.05,0.0
2016-12-31,27.0,$-1.64,0.0
2016-09-30,27.86,$3.58,7.78
2016-06-30,29.22,$0.48,60.88
2016-03-31,28.16,$-0.69,0.0
2015-12-31,24.0,$-0.50,0.0
2015-09-30,22.56,$-0.45,0.0
2015-06-30,24.14,$2.21,10.95
2015-03-31,26.24,$2.32,11.33
2014-12-31,29.32,$2.61,11.24
2014-09-30,25.67,$2.69,9.54
2014-06-30,26.93,$2.73,9.88
2014-03-31,21.69,$2.66,8.15
2013-12-31,20.26,$1.99,10.18
2013-09-30,19.97,$2.41,8.29
2013-06-30,21.75,$2.69,8.1
2013-03-31,19.51,$3.26,5.99
2012-12-31,19.41,$2.38,8.17
2012-09-30,20.84,$1.98,10.53
2012-06-30,20.19,$2.80,7.21
2012-03-31,19.73,$2.65,7.44
2011-12-31,21.19,$3.77,5.62
2011-09-30,19.0,$3.97,4.79
2011-06-30,19.3,$3.51,5.5
2011-03-31,18.78,$3.46,5.43
2010-12-31,19.56,$3.33,5.88
2010-09-30,20.9,$3.52,5.95
2010-06-30,19.36,$3.37,5.75
2010-03-31,21.76,$3.11,7.0
2009-12-31,21.67,$3.15,6.88
