Black Diamond Therapeutics PE Ratio Historical Data,Black Diamond Therapeutics PE Ratio Historical Data,Black Diamond Therapeutics PE Ratio Historical Data,Black Diamond Therapeutics PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,1.88,,0.0
2024-12-31,2.14,$-1.27,0.0
2024-09-30,4.35,$-1.33,0.0
2024-06-30,4.66,$-1.50,0.0
2024-03-31,5.07,$-1.66,0.0
2023-12-31,2.81,$-1.88,0.0
2023-09-30,2.87,$-2.13,0.0
2023-06-30,5.05,$-2.28,0.0
2023-03-31,1.89,$-2.39,0.0
2022-12-31,1.8,$-2.52,0.0
2022-09-30,1.69,$-2.64,0.0
2022-06-30,2.46,$-3.01,0.0
2022-03-31,2.77,$-3.33,0.0
2021-12-31,5.33,$-3.47,0.0
2021-09-30,8.46,$-3.39,0.0
2021-06-30,12.19,$-2.92,0.0
2021-03-31,24.26,$-2.38,0.0
2020-12-31,32.05,$-2.05,0.0
