MidCap Financial Investment PE Ratio Historical Data,MidCap Financial Investment PE Ratio Historical Data,MidCap Financial Investment PE Ratio Historical Data,MidCap Financial Investment PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,12.98,,9.91
2024-12-31,13.49,$1.31,10.3
2024-09-30,13.03,$1.56,8.35
2024-06-30,14.11,$1.71,8.25
2024-03-31,13.68,$1.75,7.81
2023-12-31,12.12,$1.82,6.66
2023-09-30,11.85,$1.31,9.04
2023-06-30,10.52,$1.10,9.56
2023-03-31,9.26,$0.80,11.57
2022-12-31,8.94,$0.41,21.81
2022-09-30,7.76,$0.73,10.64
2022-06-30,7.97,$0.87,9.16
2022-03-31,9.47,$1.27,7.45
2021-12-31,8.91,$1.20,7.43
2021-09-30,8.78,$1.39,6.32
2021-06-30,9.2,$1.51,6.1
2021-03-31,9.03,$1.07,8.44
2020-12-31,6.81,$1.07,6.37
2020-09-30,5.14,$0.56,9.17
2020-06-30,5.71,$0.15,38.07
2020-03-31,3.86,$0.45,8.58
2019-12-31,9.44,$0.45,20.99
2019-09-30,8.49,$0.43,19.74
2019-06-30,8.11,$0.72,11.27
2019-03-31,7.56,$0.55,13.75
2018-12-31,6.01,$0.55,10.94
2018-09-30,7.65,$0.66,11.6
2018-06-30,7.63,$0.69,11.06
2018-03-31,6.96,$0.90,7.74
2017-12-31,7.34,$0.90,8.16
2017-09-30,7.73,$0.96,8.05
2017-06-30,7.88,$1.08,7.3
2017-03-31,7.91,$0.12,65.89
2016-12-31,6.9,$0.12,57.5
2016-09-30,6.66,$-0.36,0.0
2016-06-30,6.2,$-0.93,0.0
2016-03-31,5.99,$-0.27,0.0
2015-12-31,5.44,$-0.27,0.0
2015-09-30,5.49,$-0.21,0.0
2015-06-30,6.88,$0.36,19.12
2015-03-31,7.27,$1.08,6.73
2014-12-31,6.85,$1.08,6.34
2014-09-30,7.33,$2.70,2.72
2014-06-30,7.55,$3.15,2.4
2014-03-31,7.12,$2.61,2.73
2013-12-31,7.09,$2.61,2.72
2013-09-30,6.66,$0.93,7.16
2013-06-30,6.18,$0.99,6.24
2013-03-31,6.51,$1.29,5.04
2012-12-31,6.36,$1.29,4.93
2012-09-30,5.85,$2.55,2.29
2012-06-30,5.56,$-2.58,0.0
2012-03-31,5.06,$-2.43,0.0
2011-12-31,4.42,$-2.43,0.0
2011-09-30,4.94,$-2.07,0.0
2011-06-30,6.5,$2.79,2.33
2011-03-31,7.48,$2.73,2.74
2010-12-31,6.7,$2.73,2.45
2010-09-30,6.04,$2.88,2.1
2010-06-30,5.36,$4.23,1.27
2010-03-31,7.12,$4.62,1.54
2009-12-31,5.22,$4.62,1.13
