Glen Burnie Bancorp PE Ratio Historical Data,Glen Burnie Bancorp PE Ratio Historical Data,Glen Burnie Bancorp PE Ratio Historical Data,Glen Burnie Bancorp PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,5.02,,167.33
2024-09-30,5.6,$0.03,186.67
2024-06-30,3.88,$0.18,21.56
2024-03-31,5.26,$0.35,15.04
2023-12-31,5.68,$0.50,11.35
2023-09-30,5.92,$0.73,8.11
2023-06-30,7.07,$0.67,10.55
2023-03-31,6.55,$0.68,9.64
2022-12-31,7.44,$0.61,12.19
2022-09-30,8.37,$0.51,16.41
2022-06-30,9.3,$0.69,13.48
2022-03-31,11.17,$0.75,14.89
2021-12-31,12.08,$0.88,13.73
2021-09-30,10.37,$0.88,11.79
2021-06-30,10.75,$0.90,11.95
2021-03-31,9.72,$0.70,13.89
2020-12-31,9.18,$0.58,15.83
2020-09-30,8.48,$0.58,14.62
2020-06-30,6.93,$0.46,15.07
2020-03-31,6.44,$0.60,10.73
2019-12-31,9.2,$0.56,16.43
2019-09-30,8.56,$0.48,17.83
2019-06-30,8.63,$0.46,18.77
2019-03-31,8.25,$0.52,15.87
2018-12-31,8.03,$0.56,14.34
2018-09-30,9.37,$0.40,23.43
2018-06-30,8.33,$0.36,23.14
2018-03-31,9.09,$0.31,29.32
2017-12-31,8.23,$0.33,24.95
2017-09-30,8.07,$0.53,15.23
2017-06-30,7.68,$0.42,18.29
2017-03-31,8.66,$0.41,21.12
2016-12-31,8.26,$0.40,20.65
2016-09-30,7.22,$0.41,17.62
2016-06-30,7.52,$0.37,20.32
2016-03-31,7.23,$0.45,16.06
2015-12-31,8.33,$0.49,17.01
2015-09-30,9.82,$0.50,19.64
2015-06-30,8.3,$0.69,12.02
2015-03-31,8.48,$0.66,12.85
2014-12-31,8.1,$0.69,11.74
2014-09-30,8.48,$0.75,11.31
2014-06-30,8.27,$0.85,9.73
2014-03-31,7.94,$0.93,8.54
2013-12-31,7.86,$0.95,8.28
2013-09-30,7.81,$0.95,8.22
2013-06-30,7.81,$0.90,8.67
2013-03-31,7.68,$0.90,8.53
2012-12-31,7.26,$0.98,7.41
2012-09-30,7.23,$1.03,7.02
2012-06-30,6.64,$1.08,6.15
2012-03-31,6.18,$1.12,5.52
2011-12-31,4.99,$1.11,4.49
2011-09-30,4.75,$1.07,4.43
2011-06-30,5.37,$1.03,5.22
2011-03-31,4.52,$0.87,5.19
2010-12-31,5.02,$0.76,6.61
2010-09-30,4.89,$0.44,11.12
2010-06-30,5.12,$0.39,13.12
2010-03-31,5.93,$0.45,13.19
2009-12-31,5.12,$0.46,11.14
