Nuwellis PE Ratio Historical Data,Nuwellis PE Ratio Historical Data,Nuwellis PE Ratio Historical Data,Nuwellis PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,1.13,,0.0
2024-12-31,1.11,$-38.09,0.0
2024-09-30,1.19,$-116.41,0.0
2024-06-30,5.03,$-181.44,0.0
2024-03-31,12.44,$-290.21,0.0
2023-12-31,20.33,$-470.63,0.0
2023-09-30,50.05,$-567.13,0.0
2023-06-30,94.15,"$-1,797.55",0.0
2023-03-31,170.1,"$-3,103.50",0.0
2022-12-31,375.2,"$-4,370.63",0.0
2022-09-30,1887.55,"$-5,629.37",0.0
2022-06-30,2061.15,"$-6,958.04",0.0
2022-03-31,3535.0,"$-8,041.96",0.0
2021-12-31,3990.0,"$-10,944.06",0.0
2021-09-30,7700.0,"$-13,461.54",0.0
2021-06-30,14700.0,"$-18,111.89",0.0
2021-03-31,20685.0,"$-26,094.42",0.0
2020-12-31,24395.0,"$-60,573.83",0.0
2020-09-30,30607.5,"$-174,222.88",0.0
2020-06-30,50274.0,"$-345,450.35",0.0
2020-03-31,46200.0,"$-537,600.54",0.0
2019-12-31,90425.99,"$-1,703,101.50",0.0
2019-09-30,157499.99,"$-2,464,352.30",0.0
2019-06-30,305549.98,"$-3,182,911.80",0.0
2019-03-31,431549.97,"$-4,347,909.60",0.0
2018-12-31,717653.92,"$-4,731,795.60",0.0
2018-09-30,1734599.8,"$-18,558,844.70",0.0
2018-06-30,2704799.69,"$-24,352,969.00",0.0
2018-03-31,4101299.53,"$-36,808,861.00",0.0
2017-12-31,5086199.42,"$-86,691,264.00",0.0
2017-09-30,17231338.02,"$-208,456,064.00",0.0
2017-06-30,30281996.52,"$-440,238,880.00",0.0
2017-03-31,53507993.85,"$-629,559,840.00",0.0
2016-12-31,100000000.0,"$-807,730,800.00",0.0
2016-09-30,100000000.0,"$-989,225,400.00",0.0
2016-06-30,100000000.0,"$-1,068,716,700.00",0.0
2016-03-31,100000000.0,"$-1,174,705,100.00",0.0
2015-12-31,100000000.0,"$-1,298,358,300.00",0.0
2015-09-30,100000000.0,"$-1,333,687,800.00",0.0
2015-06-30,100000000.0,"$-1,333,687,800.00",0.0
2015-03-31,100000000.0,"$-1,360,185,000.00",0.0
2014-12-31,100000000.0,"$-1,342,520,300.00",0.0
2014-09-30,100000000.0,"$-1,360,185,000.00",0.0
2014-06-30,100000000.0,"$-1,457,341,100.00",0.0
2014-03-31,100000000.0,"$-1,430,843,900.00",0.0
2013-12-31,100000000.0,"$-1,510,335,200.00",0.0
2013-09-30,100000000.0,"$-1,528,000,000.00",0.0
2013-06-30,100000000.0,"$-1,483,838,100.00",0.0
2013-03-31,100000000.0,"$-1,545,664,700.00",0.0
2012-12-31,100000000.0,"$-1,713,479,700.00",0.0
