Where Food Comes From PE Ratio Historical Data,Where Food Comes From PE Ratio Historical Data,Where Food Comes From PE Ratio Historical Data,Where Food Comes From PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,11.67,,29.92
2024-12-31,13.24,$0.39,33.95
2024-09-30,10.78,$0.35,30.8
2024-06-30,12.11,$0.39,31.05
2024-03-31,10.52,$0.39,26.97
2023-12-31,13.55,$0.38,35.66
2023-09-30,13.98,$0.32,43.69
2023-06-30,13.83,$0.32,43.22
2023-03-31,13.35,$0.27,49.44
2022-12-31,13.97,$0.33,42.33
2022-09-30,9.61,$0.37,25.97
2022-06-30,10.8,$0.38,28.42
2022-03-31,11.45,$0.37,30.95
2021-12-31,14.51,$0.48,30.23
2021-09-30,13.5,$0.45,30.0
2021-06-30,15.32,$0.43,35.63
2021-03-31,13.12,$0.44,29.82
2020-12-31,2.08,$0.25,8.32
