Concord Medical Services Holdings PE Ratio Historical Data,Concord Medical Services Holdings PE Ratio Historical Data,Concord Medical Services Holdings PE Ratio Historical Data,Concord Medical Services Holdings PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,3.91,,0.0
2024-06-30,9.5,$-6.10,0.0
2016-03-31,49.2,$-4.80,0.0
2015-12-31,48.4,$-2.60,0.0
2015-09-30,38.68,$4.20,9.21
2015-06-30,58.65,$4.60,12.75
2015-03-31,48.83,$4.60,10.62
2014-12-31,53.33,$4.50,11.85
2014-09-30,59.9,$4.00,14.97
2014-06-30,60.05,$3.80,15.8
2014-03-31,56.46,$3.60,15.68
2013-12-31,36.45,$3.30,11.04
2013-09-30,35.38,$3.90,9.07
2013-06-30,26.74,$4.20,6.37
2013-03-31,28.93,$4.40,6.58
2012-12-31,27.47,$4.50,6.1
2012-09-30,24.94,$-7.00,0.0
2012-06-30,19.49,$-7.00,0.0
2012-03-31,25.54,$-7.10,0.0
2011-12-31,21.48,$-7.20,0.0
2011-09-30,21.02,$4.50,4.67
2011-06-30,26.92,$4.20,6.41
2011-03-31,35.96,$4.00,8.99
2010-12-31,47.03,$3.90,12.06
2010-09-30,44.55,$2.90,15.36
