111 PE Ratio Historical Data,111 PE Ratio Historical Data,111 PE Ratio Historical Data,111 PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,10.14,,0.0
2024-09-30,0.76,$-4.00,0.0
2024-06-30,1.07,$-5.40,0.0
2024-03-31,1.16,$-6.20,0.0
2023-12-31,1.55,$-6.60,0.0
2023-09-30,2.6,$-5.20,0.0
2023-06-30,2.46,$-5.20,0.0
2023-03-31,2.65,$-6.00,0.0
2022-12-31,3.02,$-7.40,0.0
2022-09-30,2.68,$-7.60,0.0
2022-06-30,2.06,$-10.80,0.0
2022-03-31,2.66,$-12.00,0.0
2021-12-31,3.5,$-12.80,0.0
2021-09-30,6.17,$-13.00,0.0
2021-06-30,9.09,$-10.20,0.0
2021-03-31,13.8,$-8.80,0.0
2020-12-31,6.95,$-8.20,0.0
2020-09-30,6.2,$-8.60,0.0
2020-06-30,6.35,$-8.80,0.0
2020-03-31,6.61,$-9.00,0.0
2019-12-31,6.73,$-9.00,0.0
2019-09-30,4.87,$-10.20,0.0
