North American Construction Group PE Ratio Historical Data,North American Construction Group PE Ratio Historical Data,North American Construction Group PE Ratio Historical Data,North American Construction Group PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,16.57,,11.51
2024-09-30,18.59,$1.44,12.91
2024-06-30,19.09,$1.39,13.73
2024-03-31,22.06,$1.32,16.71
2023-12-31,20.58,$1.56,13.2
2023-09-30,21.37,$1.75,12.21
2023-06-30,18.76,$1.96,9.57
2023-03-31,16.31,$1.85,8.82
2022-12-31,13.0,$1.66,7.83
2022-09-30,9.27,$1.42,6.53
2022-06-30,10.63,$1.27,8.37
2022-03-31,13.84,$1.14,12.14
2021-12-31,14.41,$1.29,11.17
2021-09-30,14.02,$1.16,12.09
2021-06-30,14.43,$0.98,14.72
2021-03-31,10.19,$1.21,8.42
2020-12-31,9.34,$1.22,7.66
2020-09-30,6.14,$1.18,5.2
2020-06-30,5.88,$1.21,4.86
2020-03-31,4.75,$1.25,3.8
2019-12-31,11.29,$0.94,12.01
2019-09-30,10.71,$0.81,13.22
2019-06-30,10.0,$0.65,15.39
2019-03-31,10.77,$0.31,34.73
2018-12-31,8.22,$0.40,20.56
2018-09-30,9.05,$0.39,23.22
2018-06-30,5.49,$0.33,16.63
2018-03-31,4.88,$0.16,30.47
2017-12-31,4.54,$0.11,41.26
2017-09-30,3.97,$0.03,132.49
2017-06-30,4.0,$0.01,0.0
2017-03-31,4.49,$0.06,74.84
2016-12-31,3.48,$-0.03,0.0
2016-09-30,2.25,$-0.03,0.0
2016-06-30,2.53,$-0.04,0.0
2016-03-31,1.82,$-0.03,0.0
2015-12-31,1.53,$-0.18,0.0
2015-09-30,1.91,$-0.21,0.0
2015-06-30,2.12,$-0.04,0.0
2015-03-31,2.52,$-0.04,0.0
2014-12-31,2.7,$-0.03,0.0
2014-09-30,5.52,$0.15,36.79
2014-06-30,6.88,$1.96,3.51
2014-03-31,6.14,$1.92,3.2
2013-12-31,4.94,$1.79,2.76
2013-09-30,4.63,$1.78,2.6
2013-06-30,3.6,$-0.05,0.0
2013-03-31,3.86,$-0.04,0.0
2012-12-31,2.89,$-0.37,0.0
2012-09-30,2.45,$-0.55,0.0
2012-06-30,2.19,$-0.47,0.0
2012-03-31,4.17,$-0.59,0.0
2011-12-31,5.48,$-1.00,0.0
2011-09-30,4.95,$-0.85,0.0
2011-06-30,6.51,$-0.97,0.0
2011-03-31,10.48,$-0.99,0.0
2010-12-31,10.42,$-0.15,0.0
2010-09-30,6.93,$0.29,23.89
2010-06-30,7.51,$0.25,30.03
2010-03-31,8.15,$0.90,9.06
2009-12-31,6.17,$-2.61,0.0
