PLANET GREEN HOLDINGS CORP PE Ratio Historical Data,PLANET GREEN HOLDINGS CORP PE Ratio Historical Data,PLANET GREEN HOLDINGS CORP PE Ratio Historical Data,PLANET GREEN HOLDINGS CORP PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,1.62,,0.0
2024-09-30,1.54,$-0.38,0.0
2024-06-30,1.66,$-0.42,0.0
2024-03-31,2.6,$-2.90,0.0
2023-12-31,4.89,$-3.00,0.0
2023-09-30,7.8,$-2.10,0.0
2023-06-30,5.05,$-2.20,0.0
2023-03-31,4.92,$-0.80,0.0
2022-12-31,6.2,$-0.90,0.0
2022-09-30,6.6,$-2.70,0.0
2022-06-30,7.9,$-3.20,0.0
2022-03-31,8.97,$-3.40,0.0
2021-12-31,10.2,$-3.90,0.0
2021-09-30,13.5,$-2.10,0.0
2021-06-30,16.9,$-9.80,0.0
2021-03-31,21.9,$-9.30,0.0
2020-12-31,22.3,$-9.20,0.0
2020-09-30,19.6,$-9.20,0.0
2020-06-30,26.6,$-4.50,0.0
2020-03-31,29.6,$-5.00,0.0
2019-12-31,27.4,$-4.30,0.0
2019-09-30,33.9,$-4.30,0.0
2019-06-30,46.8,$172.10,0.27
2019-03-31,43.5,$170.10,0.26
2018-12-31,24.5,$170.10,0.14
2018-09-30,34.9,$170.10,0.21
2018-06-30,52.5,$27.50,1.91
2018-03-31,49.25,$17.50,2.81
2017-12-31,44.0,$-77.50,0.0
2017-09-30,95.0,$-77.50,0.0
2017-06-30,125.0,$-105.00,0.0
2017-03-31,140.0,$-92.50,0.0
2016-12-31,135.0,$-15.00,0.0
2016-09-30,157.48,$2.50,62.99
2016-06-30,282.5,$15.00,18.83
2016-03-31,295.0,$5.00,59.0
2015-12-31,305.0,$15.00,20.33
2015-09-30,240.0,$-10.00,0.0
2015-06-30,465.0,$-17.50,0.0
2015-03-31,325.0,$7.50,43.33
2014-12-31,237.5,$27.50,8.64
2014-09-30,302.5,$87.50,3.46
2014-06-30,287.5,$110.00,2.61
2014-03-31,297.5,$112.50,2.64
2013-12-31,197.5,$117.50,1.68
2013-09-30,194.75,$125.00,1.56
2013-06-30,257.5,$132.50,1.94
2013-03-31,315.0,$140.00,2.25
2012-12-31,320.03,$147.50,2.17
2012-09-30,312.3,$140.00,2.23
2012-06-30,275.0,$152.50,1.8
2012-03-31,327.53,$150.00,2.18
2011-12-31,400.0,$142.50,2.81
2011-09-30,407.5,$150.00,2.72
2011-06-30,385.0,$140.00,2.75
2011-03-31,635.0,$142.50,4.46
2010-12-31,652.5,$142.50,4.58
2010-09-30,680.0,$142.50,4.77
2010-06-30,710.0,$147.50,4.81
