Athira Pharma PE Ratio Historical Data,Athira Pharma PE Ratio Historical Data,Athira Pharma PE Ratio Historical Data,Athira Pharma PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,0.33,,0.0
2024-12-31,0.59,$-2.53,0.0
2024-09-30,0.45,$-2.85,0.0
2024-06-30,2.65,$-2.97,0.0
2024-03-31,2.74,$-3.05,0.0
2023-12-31,2.43,$-3.09,0.0
2023-09-30,2.02,$-3.17,0.0
2023-06-30,2.95,$-2.83,0.0
2023-03-31,2.5,$-2.70,0.0
2022-12-31,3.17,$-2.53,0.0
2022-09-30,2.97,$-2.11,0.0
2022-06-30,3.05,$-2.00,0.0
2022-03-31,13.5,$-1.73,0.0
2021-12-31,13.03,$-1.42,0.0
2021-09-30,9.38,$-1.29,0.0
2021-06-30,10.24,$-1.99,0.0
