CME Group PE Ratio Historical Data,CME Group PE Ratio Historical Data,CME Group PE Ratio Historical Data,CME Group PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,266.54,,27.56
2024-12-31,232.23,$9.67,24.02
2024-09-30,219.58,$9.51,23.09
2024-06-30,194.63,$9.07,21.46
2024-03-31,211.91,$8.79,24.11
2023-12-31,206.18,$8.87,23.24
2023-09-30,190.25,$8.38,22.7
2023-06-30,175.13,$8.19,21.38
2023-03-31,179.95,$7.87,22.87
2022-12-31,157.03,$7.39,21.25
2022-09-30,160.18,$7.35,21.79
2022-06-30,184.2,$8.06,22.85
2022-03-31,212.96,$7.66,27.8
2021-12-31,203.66,$7.31,27.86
2021-09-30,169.31,$6.78,24.97
2021-06-30,185.34,$5.35,34.64
2021-03-31,177.24,$5.33,33.25
2020-12-31,157.31,$5.87,26.8
2020-09-30,141.92,$6.00,23.65
2020-06-30,137.18,$6.63,20.69
2020-03-31,145.28,$6.66,21.81
2019-12-31,167.95,$5.91,28.42
2019-09-30,174.03,$5.69,30.59
2019-06-30,159.29,$5.12,31.11
2019-03-31,134.56,$5.35,25.15
2018-12-31,153.14,$5.72,26.77
2018-09-30,136.74,$13.26,10.31
2018-06-30,131.16,$12.96,10.12
2018-03-31,128.89,$12.52,10.29
2017-12-31,115.91,$11.94,9.71
2017-09-30,104.7,$4.41,23.74
2017-06-30,96.14,$4.89,19.66
2017-03-31,90.7,$4.62,19.63
2016-12-31,87.59,$4.53,19.34
2016-09-30,76.84,$4.29,17.91
2016-06-30,71.21,$3.96,17.98
2016-03-31,69.78,$3.79,18.41
2015-12-31,65.4,$3.68,17.77
2015-09-30,64.55,$3.73,17.3
2015-06-30,64.43,$3.53,18.25
2015-03-31,65.23,$3.54,18.43
2014-12-31,60.74,$3.35,18.13
2014-09-30,53.32,$3.02,17.65
2014-06-30,47.02,$2.87,16.38
2014-03-31,48.73,$3.01,16.19
2013-12-31,51.33,$2.93,17.52
2013-09-30,46.56,$2.85,16.34
2013-06-30,47.56,$2.80,16.99
2013-03-31,38.21,$2.61,14.64
2012-12-31,31.3,$5.92,5.29
2012-09-30,34.23,$7.67,4.46
2012-06-30,31.79,$7.96,3.99
2012-03-31,34.02,$8.09,4.2
2011-12-31,28.12,$5.44,5.17
2011-09-30,28.27,$3.77,7.49
2011-06-30,33.28,$3.56,9.36
2011-03-31,34.24,$3.50,9.78
2010-12-31,36.37,$2.86,12.7
2010-09-30,29.33,$2.89,10.16
2010-06-30,31.57,$2.76,11.43
2010-03-31,35.31,$2.61,13.55
2009-12-31,37.39,$2.48,15.06
