"EYEPOINT PHARMACEUTICALS, INC PE Ratio Historical Data","EYEPOINT PHARMACEUTICALS, INC PE Ratio Historical Data","EYEPOINT PHARMACEUTICALS, INC PE Ratio Historical Data","EYEPOINT PHARMACEUTICALS, INC PE Ratio Historical Data"
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,6.1,,0.0
2024-12-31,7.45,$-2.31,0.0
2024-09-30,7.99,$-2.00,0.0
2024-06-30,8.7,$-1.79,0.0
2024-03-31,20.67,$-1.82,0.0
2023-12-31,23.11,$-1.83,0.0
2023-09-30,7.99,$-2.66,0.0
2023-06-30,8.7,$-2.82,0.0
2023-03-31,2.94,$-2.73,0.0
2022-12-31,3.5,$-2.73,0.0
2022-09-30,7.91,$-2.16,0.0
2022-06-30,7.87,$-2.25,0.0
2022-03-31,12.15,$-2.08,0.0
2021-12-31,12.24,$-2.02,0.0
2021-09-30,10.42,$-2.50,0.0
2021-06-30,8.99,$-2.22,0.0
2021-03-31,10.16,$-2.87,0.0
2020-12-31,6.58,$-3.47,0.0
2020-09-30,5.18,$-3.40,0.0
2020-06-30,7.57,$-4.60,0.0
2020-03-31,10.2,$-4.70,0.0
2019-12-31,15.5,$-5.60,0.0
2019-09-30,18.1,$-4.60,0.0
2019-06-30,16.4,$-7.50,0.0
2019-03-31,17.9,$-12.60,0.0
