Telephone And Data Systems PE Ratio Historical Data,Telephone And Data Systems PE Ratio Historical Data,Telephone And Data Systems PE Ratio Historical Data,Telephone And Data Systems PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,36.07,,0.0
2024-12-31,34.11,$-0.86,0.0
2024-09-30,23.22,$-5.40,0.0
2024-06-30,20.67,$-4.83,0.0
2024-03-31,15.94,$-4.87,0.0
2023-12-31,18.04,$-5.05,0.0
2023-09-30,17.82,$-0.79,0.0
2023-06-30,7.93,$-0.85,0.0
2023-03-31,9.87,$-0.53,0.0
2022-12-31,9.68,$-0.08,0.0
2022-09-30,12.61,$0.41,30.76
2022-06-30,14.16,$0.87,16.28
2022-03-31,16.74,$0.89,18.8
2021-12-31,17.69,$1.00,17.69
2021-09-30,16.97,$1.01,16.81
2021-06-30,19.55,$1.43,13.67
2021-03-31,19.67,$1.82,10.81
2020-12-31,15.79,$1.93,8.18
2020-09-30,15.54,$1.91,8.13
2020-06-30,16.61,$1.40,11.87
2020-03-31,13.89,$1.12,12.4
2019-12-31,20.85,$1.03,20.25
2019-09-30,21.01,$1.07,19.64
2019-06-30,24.61,$1.32,18.64
2019-03-31,24.74,$1.33,18.6
2018-12-31,26.06,$1.17,22.27
2018-09-30,24.26,$3.57,6.8
2018-06-30,21.75,$1.53,14.21
2018-03-31,22.1,$1.33,16.62
2017-12-31,21.79,$1.32,16.51
2017-09-30,21.74,$-1.27,0.0
2017-06-30,21.5,$0.48,44.8
2017-03-31,20.43,$0.64,31.92
2016-12-31,22.12,$0.38,58.2
2016-09-30,20.72,$0.42,49.33
2016-06-30,22.48,$0.77,29.2
2016-03-31,22.69,$0.73,31.08
2015-12-31,19.42,$1.99,9.76
2015-09-30,18.62,$1.85,10.06
2015-06-30,21.81,$0.32,68.17
2015-03-31,18.39,$-0.09,0.0
2014-12-31,18.55,$-1.26,0.0
2014-09-30,17.5,$-1.17,0.0
2014-06-30,18.97,$-0.19,0.0
2014-03-31,18.95,$1.43,13.25
2013-12-31,18.53,$1.28,14.48
2013-09-30,21.13,$0.95,22.24
2013-06-30,17.55,$1.31,13.39
2013-03-31,14.91,$0.28,53.26
2012-12-31,15.58,$0.75,20.77
2012-09-30,17.92,$1.08,16.6
2012-06-30,14.83,$1.44,10.33
2012-03-31,16.03,$1.85,8.69
2011-12-31,16.41,$1.73,9.47
2011-09-30,13.41,$1.92,6.97
2011-06-30,19.51,$1.65,11.85
2011-03-31,21.07,$1.20,17.62
2010-12-31,22.77,$1.25,18.2
2010-09-30,20.37,$1.26,16.16
2010-06-30,18.81,$1.21,15.49
2010-03-31,20.88,$1.44,14.45
2009-12-31,20.85,$1.61,12.95
