Trivago ADS PE Ratio Historical Data,Trivago ADS PE Ratio Historical Data,Trivago ADS PE Ratio Historical Data,Trivago ADS PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,4.72,,0.0
2024-12-31,2.18,$-0.01,0.0
2024-09-30,1.73,$-0.07,0.0
2024-06-30,2.01,$-2.93,0.0
2024-03-31,2.77,$-2.82,0.0
2023-12-31,2.44,$-2.64,0.0
2023-09-30,2.78,$-2.50,0.0
2023-06-30,3.5,$-0.55,0.0
2023-03-31,4.0,$-1.55,0.0
2022-12-31,3.58,$-1.85,0.0
2022-09-30,3.08,$-1.75,0.0
2022-06-30,3.95,$-0.70,0.0
2022-03-31,6.26,$0.15,41.71
2021-12-31,5.78,$0.20,28.9
2021-09-30,6.55,$-0.15,0.0
2021-06-30,8.78,$-0.30,0.0
2021-03-31,11.4,$-0.60,0.0
2020-12-31,6.42,$-3.85,0.0
2020-09-30,4.11,$-3.70,0.0
2020-06-30,5.22,$-3.65,0.0
2020-03-31,3.87,$-3.20,0.0
2019-12-31,6.95,$0.25,27.78
2019-09-30,10.9,$0.40,27.24
2019-06-30,11.16,$0.55,20.29
2019-03-31,11.45,$0.10,114.53
2018-12-31,14.93,$-0.35,0.0
2018-09-30,16.33,$-0.70,0.0
2018-06-30,12.04,$-1.00,0.0
2018-03-31,18.43,$-0.70,0.0
2017-12-31,18.13,$-0.25,0.0
2017-09-30,28.77,$-0.10,0.0
