POSCO PE Ratio Historical Data,POSCO PE Ratio Historical Data,POSCO PE Ratio Historical Data,POSCO PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,55.32,,19.41
2024-09-30,69.99,$2.85,24.56
2024-06-30,65.32,$3.22,20.29
2024-03-31,77.37,$3.81,20.31
2023-12-31,93.31,$4.76,19.6
2023-09-30,100.56,$7.07,14.22
2023-06-30,72.21,$7.15,10.1
2023-03-31,67.62,$9.28,7.29
2022-12-31,52.85,$11.60,4.56
2022-09-30,35.28,$13.67,2.58
2022-06-30,42.48,$19.31,2.2
2022-03-31,55.64,$20.35,2.73
2021-12-31,54.14,$18.89,2.87
2021-09-30,62.96,$17.03,3.7
2021-06-30,69.04,$11.10,6.22
2021-03-31,64.21,$6.30,10.19
2020-12-31,54.9,$4.30,12.77
2020-09-30,36.3,$2.43,14.94
2020-06-30,31.86,$2.38,13.39
2020-03-31,28.0,$3.91,7.16
2019-12-31,43.01,$4.93,8.72
2019-09-30,39.44,$2.33,16.93
2019-06-30,43.97,$4.08,10.78
2019-03-31,45.4,$4.01,11.32
2018-12-31,44.84,$4.73,9.48
2018-09-30,52.81,$7.20,7.33
2018-06-30,58.92,$6.75,8.73
2018-03-31,62.4,$6.60,9.45
2017-12-31,61.56,$6.09,10.11
2017-09-30,54.12,$6.51,8.31
2017-06-30,48.57,$5.58,8.7
2017-03-31,49.79,$4.97,10.02
2016-12-31,40.35,$3.62,11.15
2016-09-30,38.32,$0.71,53.98
2016-06-30,33.29,$-2.33,0.0
2016-03-31,35.13,$-2.60,0.0
2015-12-31,26.25,$-2.56,0.0
2015-09-30,25.1,$-0.70,0.0
2015-06-30,35.19,$1.57,22.41
2015-03-31,38.85,$2.73,14.23
2014-12-31,45.36,$1.97,23.02
2014-09-30,53.95,$3.38,15.96
2014-06-30,52.92,$4.28,12.36
2014-03-31,49.34,$3.32,14.86
2013-12-31,55.45,$3.97,13.97
2013-09-30,51.57,$4.90,10.52
2013-06-30,45.58,$5.39,8.46
2013-03-31,51.34,$6.09,8.43
2012-12-31,57.22,$7.06,8.1
2012-09-30,56.03,$8.32,6.73
2012-06-30,55.27,$6.87,8.05
2012-03-31,57.24,$9.38,6.1
2011-12-31,56.15,$10.71,5.24
2011-09-30,51.12,$9.21,5.55
2011-06-30,73.06,$11.25,6.49
2011-03-31,76.52,$10.53,7.27
2010-12-31,72.1,$11.80,6.11
2010-09-30,75.32,$14.05,5.36
2010-06-30,62.33,$14.48,4.3
2010-03-31,77.0,$12.36,6.23
2009-12-31,86.27,$8.71,9.9
