American Public Education PE Ratio Historical Data,American Public Education PE Ratio Historical Data,American Public Education PE Ratio Historical Data,American Public Education PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,22.63,,41.15
2024-12-31,21.57,$0.55,39.22
2024-09-30,14.75,$0.56,26.34
2024-06-30,17.58,$0.25,70.32
2024-03-31,14.2,$-2.62,0.0
2023-12-31,9.65,$-2.94,0.0
2023-09-30,4.98,$-3.93,0.0
2023-06-30,4.74,$-3.86,0.0
2023-03-31,5.42,$-6.75,0.0
2022-12-31,12.29,$-6.09,0.0
2022-09-30,9.14,$-5.24,0.0
2022-06-30,16.16,$-5.05,0.0
2022-03-31,21.24,$0.80,26.55
2021-12-31,22.25,$1.01,22.03
2021-09-30,25.61,$0.98,26.13
2021-06-30,28.34,$1.17,24.22
2021-03-31,35.63,$1.59,22.41
2020-12-31,30.48,$1.26,24.19
2020-09-30,28.19,$1.16,24.3
2020-06-30,29.6,$0.88,33.64
2020-03-31,23.93,$0.73,32.78
2019-12-31,27.39,$0.63,43.48
2019-09-30,22.34,$0.81,27.58
2019-06-30,29.58,$1.24,23.85
2019-03-31,30.12,$1.33,22.65
2018-12-31,28.46,$1.55,18.36
2018-09-30,33.05,$1.51,21.89
2018-06-30,42.1,$1.45,29.03
2018-03-31,43.0,$1.29,33.33
2017-12-31,25.05,$1.29,19.42
2017-09-30,21.05,$1.20,17.54
2017-06-30,23.65,$0.95,24.89
2017-03-31,22.9,$1.13,20.27
2016-12-31,24.55,$1.49,16.48
2016-09-30,19.81,$1.67,11.86
2016-06-30,28.1,$2.06,13.64
2016-03-31,20.63,$2.07,9.97
2015-12-31,18.61,$1.94,9.59
2015-09-30,23.45,$2.02,11.61
2015-06-30,25.72,$2.12,12.13
2015-03-31,29.98,$2.26,13.27
2014-12-31,36.87,$2.34,15.76
2014-09-30,26.99,$2.17,12.44
2014-06-30,34.38,$2.27,15.15
2014-03-31,35.08,$2.31,15.19
2013-12-31,43.47,$2.35,18.5
2013-09-30,37.8,$2.58,14.65
2013-06-30,37.16,$2.57,14.46
2013-03-31,34.89,$2.48,14.07
2012-12-31,36.12,$2.35,15.37
2012-09-30,36.43,$2.32,15.7
2012-06-30,32.0,$2.32,13.79
2012-03-31,38.0,$2.30,16.52
2011-12-31,43.28,$2.23,19.41
2011-09-30,34.0,$2.04,16.67
2011-06-30,44.51,$1.74,25.58
2011-03-31,40.45,$1.62,24.97
2010-12-31,37.24,$1.59,23.42
2010-09-30,32.86,$1.51,21.76
2010-06-30,43.7,$1.48,29.53
2010-03-31,46.6,$1.39,33.53
2009-12-31,34.36,$1.27,27.06
