Knife River PE Ratio Historical Data,Knife River PE Ratio Historical Data,Knife River PE Ratio Historical Data,Knife River PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,90.84,,25.66
2024-12-31,101.64,$3.54,28.71
2024-09-30,89.39,$3.49,25.61
2024-06-30,70.14,$3.47,20.21
2024-03-31,81.08,$3.10,26.15
