Wintrust Financial PE Ratio Historical Data,Wintrust Financial PE Ratio Historical Data,Wintrust Financial PE Ratio Historical Data,Wintrust Financial PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,114.04,,11.06
2024-12-31,124.71,$10.31,12.1
2024-09-30,108.15,$9.55,11.32
2024-06-30,97.76,$9.61,10.17
2024-03-31,103.09,$9.67,10.66
2023-12-31,91.14,$9.58,9.51
2023-09-30,73.82,$9.94,7.43
2023-06-30,70.66,$9.62,7.35
2023-03-31,70.53,$8.73,8.08
2022-12-31,81.37,$8.00,10.17
2022-09-30,78.23,$7.35,10.64
2022-06-30,76.58,$6.91,11.08
2022-03-31,88.43,$7.12,12.42
2021-12-31,86.14,$7.59,11.35
2021-09-30,75.97,$7.64,9.94
2021-06-30,71.18,$7.54,9.44
2021-03-31,71.06,$6.18,11.5
2020-12-31,57.01,$4.68,12.18
2020-09-30,37.18,$4.49,8.28
2020-06-30,40.23,$4.51,8.92
2020-03-31,30.07,$5.55,5.42
2019-12-31,64.61,$6.03,10.72
2019-09-30,58.68,$5.94,9.88
2019-06-30,66.43,$5.82,11.41
2019-03-31,61.13,$5.97,10.24
2018-12-31,60.16,$5.85,10.28
2018-09-30,76.67,$5.67,13.52
2018-06-30,78.41,$5.22,15.02
2018-03-31,77.35,$4.80,16.11
2017-12-31,73.87,$4.40,16.79
2017-09-30,70.1,$4.17,16.81
2017-06-30,68.3,$3.97,17.2
2017-03-31,61.64,$3.76,16.39
2016-12-31,64.59,$3.66,17.65
2016-09-30,49.35,$3.36,14.69
2016-06-30,45.19,$3.13,14.44
2016-03-31,39.2,$3.08,12.73
2015-12-31,42.77,$2.94,14.55
2015-09-30,47.0,$3.05,15.41
2015-06-30,46.86,$3.15,14.87
2015-03-31,41.76,$3.06,13.65
2014-12-31,40.85,$2.98,13.71
2014-09-30,38.94,$2.93,13.29
2014-06-30,40.01,$2.85,14.04
2014-03-31,42.23,$2.78,15.19
2013-12-31,39.94,$2.75,14.52
2013-09-30,35.56,$2.66,13.37
2013-06-30,33.07,$2.61,12.67
2013-03-31,32.0,$2.44,13.12
2012-12-31,31.63,$2.29,13.81
2012-09-30,32.38,$2.09,15.49
2012-06-30,30.52,$2.08,14.68
2012-03-31,30.77,$1.81,17.0
2011-12-31,24.05,$1.67,14.4
2011-09-30,22.13,$1.20,18.44
2011-06-30,27.51,$1.02,26.97
2011-03-31,31.41,$1.02,30.8
2010-12-31,28.16,$1.07,26.31
2010-09-30,27.63,$2.03,13.61
2010-06-30,28.34,$2.63,10.77
2010-03-31,31.63,$2.44,12.96
2009-12-31,26.1,$2.09,12.49
