MYT Netherlands Parent B.V PE Ratio Historical Data,MYT Netherlands Parent B.V PE Ratio Historical Data,MYT Netherlands Parent B.V PE Ratio Historical Data,MYT Netherlands Parent B.V PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,7.99,,0.0
2024-12-31,7.1,$-0.43,0.0
2024-09-30,3.81,$-0.45,0.0
2024-06-30,5.1,$-0.30,0.0
2024-03-31,3.18,$-0.33,0.0
2023-12-31,3.19,$-0.35,0.0
2023-09-30,3.4,$-0.29,0.0
2023-06-30,4.0,$-0.18,0.0
2023-03-31,7.03,$-0.09,0.0
2022-12-31,8.91,$-0.09,0.0
2022-09-30,11.52,$-0.06,0.0
2022-06-30,9.88,$-0.13,0.0
2022-03-31,12.23,$-0.26,0.0
2021-12-31,21.21,$-0.92,0.0
