EQT PE Ratio Historical Data,EQT PE Ratio Historical Data,EQT PE Ratio Historical Data,EQT PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,53.73,,134.33
2024-12-31,46.11,$0.40,115.28
2024-09-30,36.5,$0.84,43.45
2024-06-30,36.64,$1.58,23.19
2024-03-31,36.59,$1.38,26.52
2023-12-31,37.99,$4.25,8.94
2023-09-30,39.72,$7.40,5.37
2023-06-30,40.12,$8.89,4.51
2023-03-31,30.98,$11.26,2.75
2022-12-31,32.69,$4.11,7.95
2022-09-30,39.24,$4.52,8.68
2022-06-30,33.01,$-2.72,0.0
2022-03-31,32.91,$-8.26,0.0
2021-12-31,20.74,$-4.36,0.0
2021-09-30,19.46,$-8.82,0.0
2021-06-30,21.17,$-5.62,0.0
2021-03-31,17.67,$-3.30,0.0
2020-12-31,12.09,$-3.80,0.0
2020-09-30,12.3,$-8.64,0.0
2020-06-30,11.32,$-7.70,0.0
2020-03-31,6.72,$-6.18,0.0
2019-12-31,10.31,$-4.78,0.0
2019-09-30,10.04,$-2.67,0.0
2019-06-30,14.88,$-1.41,0.0
2019-03-31,19.49,$-1.83,0.0
2018-12-31,17.72,$-8.57,0.0
2018-09-30,22.5,$-0.24,0.0
2018-06-30,28.06,$0.04,701.43
2018-03-31,24.14,$0.21,114.97
2017-12-31,28.91,$7.15,4.04
2017-09-30,33.12,$0.21,157.7
2017-06-30,29.73,$0.03,990.9
2017-03-31,30.98,$-1.76,0.0
2016-12-31,33.15,$-2.67,0.0
2016-09-30,36.79,$-2.44,0.0
2016-06-30,39.21,$-2.12,0.0
2016-03-31,34.05,$-0.53,0.0
2015-12-31,26.37,$0.57,46.27
2015-09-30,32.75,$1.35,24.26
2015-06-30,41.12,$1.73,23.77
2015-03-31,41.88,$2.42,17.31
2014-12-31,38.24,$2.54,15.06
2014-09-30,46.23,$3.39,13.64
2014-06-30,53.97,$3.32,16.26
2014-03-31,48.72,$3.16,15.42
2013-12-31,45.1,$2.56,17.62
2013-09-30,44.55,$2.13,20.91
2013-06-30,39.84,$1.76,22.64
2013-03-31,33.99,$1.40,24.28
2012-12-31,29.58,$1.22,24.24
2012-09-30,29.48,$1.50,19.65
2012-06-30,26.69,$2.48,10.76
2012-03-31,23.89,$2.85,8.38
2011-12-31,27.03,$3.19,8.47
2011-09-30,26.23,$3.08,8.52
2011-06-30,25.73,$2.13,12.08
2011-03-31,24.33,$1.75,13.91
2010-12-31,21.77,$1.58,13.78
2010-09-30,17.4,$1.51,11.53
2010-06-30,17.34,$1.29,13.45
2010-03-31,19.58,$1.29,15.17
2009-12-31,20.86,$1.19,17.53
