Bio-Rad Laboratories PE Ratio Historical Data,Bio-Rad Laboratories PE Ratio Historical Data,Bio-Rad Laboratories PE Ratio Historical Data,Bio-Rad Laboratories PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,265.82,,0.0
2024-12-31,325.6,$-65.04,0.0
2024-09-30,326.74,$-27.33,0.0
2024-06-30,283.45,$-47.03,0.0
2024-03-31,332.2,$-10.36,0.0
2023-12-31,320.65,$-21.49,0.0
2023-09-30,355.06,$-5.85,0.0
2023-06-30,371.1,$-15.01,0.0
2023-03-31,464.1,$-6.54,0.0
2022-12-31,404.66,$-121.43,0.0
2022-09-30,418.65,$-201.80,0.0
2022-06-30,471.62,$-66.32,0.0
2022-03-31,587.56,$-4.88,0.0
2021-12-31,722.91,$140.07,5.16
2021-09-30,759.91,$220.47,3.45
2021-06-30,640.0,$134.15,4.77
2021-03-31,579.38,$135.98,4.26
2020-12-31,574.15,$126.32,4.55
2020-09-30,508.0,$116.82,4.35
2020-06-30,436.97,$64.50,6.77
2020-03-31,351.32,$52.21,6.73
2019-12-31,369.6,$58.23,6.35
2019-09-30,340.54,$12.04,28.28
2019-06-30,306.18,$29.61,10.34
2019-03-31,303.0,$18.62,16.27
2018-12-31,230.0,$11.65,19.74
2018-09-30,297.67,$41.85,7.11
2018-06-30,285.75,$33.87,8.44
2018-03-31,250.9,$25.17,9.97
2017-12-31,238.25,$3.81,62.53
2017-09-30,228.01,$0.79,288.62
2017-06-30,225.0,$0.50,450.0
2017-03-31,199.8,$0.94,212.55
2016-12-31,183.15,$0.95,192.79
2016-09-30,162.52,$3.33,48.8
2016-06-30,141.99,$3.30,43.03
2016-03-31,135.03,$3.66,36.89
2015-12-31,137.68,$3.85,35.76
2015-09-30,132.79,$3.51,37.83
2015-06-30,146.5,$3.31,44.26
2015-03-31,135.0,$3.43,39.36
2014-12-31,120.51,$3.05,39.51
2014-09-30,115.55,$2.75,42.02
2014-06-30,123.45,$2.11,58.51
2014-03-31,127.95,$2.22,57.64
2013-12-31,123.71,$2.67,46.33
2013-09-30,118.0,$3.28,35.98
2013-06-30,113.0,$5.01,22.55
2013-03-31,122.25,$5.50,22.23
2012-12-31,104.08,$5.91,17.61
2012-09-30,108.61,$6.34,17.13
2012-06-30,100.33,$6.47,15.51
2012-03-31,103.42,$6.19,16.71
2011-12-31,95.31,$6.26,15.23
2011-09-30,90.1,$6.59,13.67
2011-06-30,117.87,$6.57,17.94
2011-03-31,118.57,$6.51,18.21
2010-12-31,104.57,$6.59,15.87
2010-09-30,91.05,$5.53,16.46
2010-06-30,87.25,$5.32,16.4
2010-03-31,103.14,$5.34,19.31
2009-12-31,97.86,$5.20,18.82
