Dorian LPG PE Ratio Historical Data,Dorian LPG PE Ratio Historical Data,Dorian LPG PE Ratio Historical Data,Dorian LPG PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,23.34,,5.94
2024-12-31,24.37,$3.93,6.2
2024-09-30,33.21,$5.90,5.63
2024-06-30,39.39,$7.57,5.2
2024-03-31,35.27,$7.60,4.64
2023-12-31,39.13,$7.53,5.2
2023-09-30,24.79,$6.33,3.92
2023-06-30,21.36,$4.95,4.31
2023-03-31,15.85,$4.29,3.69
2022-12-31,14.41,$3.28,4.39
2022-09-30,9.8,$2.42,4.05
2022-06-30,10.31,$2.26,4.56
2022-03-31,8.45,$1.78,4.75
2021-12-31,6.89,$1.83,3.76
2021-09-30,6.74,$2.13,3.16
2021-06-30,7.09,$1.79,3.96
2021-03-31,6.6,$1.89,3.49
2020-12-31,6.12,$1.52,4.03
2020-09-30,4.02,$1.47,2.74
2020-06-30,3.89,$2.20,1.77
2020-03-31,4.38,$2.07,2.11
2019-12-31,7.78,$1.22,6.38
2019-09-30,5.21,$0.45,11.57
2019-06-30,4.53,$-0.44,0.0
2019-03-31,3.23,$-0.93,0.0
2018-12-31,2.93,$-0.70,0.0
2018-09-30,4.0,$-0.56,0.0
2018-06-30,3.84,$-0.63,0.0
2018-03-31,3.76,$-0.37,0.0
2017-12-31,4.13,$-0.27,0.0
2017-09-30,3.43,$-0.21,0.0
2017-06-30,4.11,$-0.12,0.0
2017-03-31,5.29,$-0.02,0.0
2016-12-31,4.13,$0.30,13.75
2016-09-30,3.01,$1.18,2.55
2016-06-30,3.54,$2.03,1.74
2016-03-31,4.72,$2.29,2.06
2015-12-31,5.91,$2.08,2.84
2015-09-30,5.18,$1.27,4.08
2015-06-30,8.38,$0.62,13.52
2015-03-31,6.55,$0.45,14.55
