Minerva Neurosciences PE Ratio Historical Data,Minerva Neurosciences PE Ratio Historical Data,Minerva Neurosciences PE Ratio Historical Data,Minerva Neurosciences PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,1.73,,9.11
2024-12-31,2.22,$0.19,11.69
2024-09-30,2.67,$-0.44,0.0
2024-06-30,3.19,$-4.44,0.0
2024-03-31,2.58,$-4.47,0.0
2023-12-31,6.15,$-4.65,0.0
2023-09-30,6.9,$-4.72,0.0
2023-06-30,9.14,$-4.98,0.0
2023-03-31,1.6,$-5.49,0.0
2022-12-31,1.59,$-6.02,0.0
2022-09-30,9.23,$-8.76,0.0
2022-06-30,3.31,$-9.23,0.0
2022-03-31,6.64,$-9.60,0.0
2021-12-31,6.41,$-9.44,0.0
2021-09-30,13.92,$-6.80,0.0
2021-06-30,18.56,$-6.56,0.0
2021-03-31,23.36,$1.28,18.25
2020-12-31,18.72,$0.48,39.0
2020-09-30,25.44,$-4.32,0.0
2020-06-30,28.88,$-5.68,0.0
2020-03-31,48.16,$-14.08,0.0
2019-12-31,56.88,$-14.88,0.0
2019-09-30,62.0,$-11.44,0.0
2019-06-30,45.04,$-11.04,0.0
2019-03-31,62.88,$-11.04,0.0
2018-12-31,53.92,$-10.32,0.0
2018-09-30,100.4,$-7.60,0.0
2018-06-30,66.0,$-7.36,0.0
2018-03-31,50.0,$-6.96,0.0
2017-12-31,48.4,$-6.80,0.0
2017-09-30,60.8,$-8.96,0.0
2017-06-30,70.8,$-8.64,0.0
2017-03-31,64.8,$-7.92,0.0
2016-12-31,94.0,$-7.84,0.0
2016-09-30,112.92,$-8.40,0.0
2016-06-30,81.68,$-8.40,0.0
2016-03-31,49.12,$-9.12,0.0
2015-12-31,48.56,$-9.28,0.0
2015-09-30,42.0,$-9.76,0.0
2015-06-30,46.4,$-20.08,0.0
