Assured Guaranty PE Ratio Historical Data,Assured Guaranty PE Ratio Historical Data,Assured Guaranty PE Ratio Historical Data,Assured Guaranty PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,86.76,,12.72
2024-12-31,90.01,$6.82,13.2
2024-09-30,79.26,$12.87,6.16
2024-06-30,76.59,$12.30,6.23
2024-03-31,86.27,$12.95,6.66
2023-12-31,73.74,$12.40,5.95
2023-09-30,59.38,$7.52,7.9
2023-06-30,54.49,$5.10,10.69
2023-03-31,48.83,$2.30,21.23
2022-12-31,60.18,$1.94,31.02
2022-09-30,46.64,$4.16,11.21
2022-06-30,53.46,$4.20,12.73
2022-03-31,60.74,$6.23,9.75
2021-12-31,47.69,$5.39,8.85
2021-09-30,44.29,$3.47,12.76
2021-06-30,44.72,$4.27,10.47
2021-03-31,39.64,$5.08,7.8
2020-12-31,29.37,$4.35,6.75
2020-09-30,19.91,$3.95,5.04
2020-06-30,22.43,$3.63,6.18
2020-03-31,23.52,$2.92,8.05
2019-12-31,44.46,$4.03,11.03
2019-09-30,40.18,$3.44,11.68
2019-06-30,37.88,$4.21,9.0
2019-03-31,39.82,$3.49,11.41
2018-12-31,34.31,$4.65,7.38
2018-09-30,37.7,$4.26,8.85
2018-06-30,31.77,$4.51,7.04
2018-03-31,32.04,$5.08,6.31
2017-12-31,29.84,$5.89,5.07
2017-09-30,33.13,$6.94,4.77
2017-06-30,36.52,$8.82,4.14
2017-03-31,32.35,$8.67,3.73
2016-12-31,32.81,$6.61,4.96
2016-09-30,24.02,$8.15,2.95
2016-06-30,21.85,$5.43,4.02
2016-03-31,21.68,$6.30,3.44
2015-12-31,22.53,$7.15,3.15
2015-09-30,21.22,$7.40,2.87
2015-06-30,20.27,$8.61,2.35
2015-03-31,22.21,$7.54,2.95
2014-12-31,21.77,$6.49,3.35
2014-09-30,18.48,$5.11,3.62
2014-06-30,20.34,$5.11,3.98
2014-03-31,20.93,$5.38,3.89
2013-12-31,19.41,$4.41,4.4
2013-09-30,15.36,$2.89,5.31
2013-06-30,17.98,$1.53,11.75
2013-03-31,16.73,$2.38,7.03
2012-12-31,11.49,$0.47,24.46
2012-09-30,10.92,$-0.37,0.0
2012-06-30,11.23,$3.03,3.71
2012-03-31,13.06,$0.71,18.4
2011-12-31,10.34,$4.03,2.57
2011-09-30,8.61,$3.63,2.37
2011-06-30,12.72,$0.46,27.66
2011-03-31,11.59,$1.85,6.26
2010-12-31,13.73,$2.87,4.78
2010-09-30,13.23,$5.00,2.65
2010-06-30,10.23,$3.82,2.68
2010-03-31,16.88,$0.91,18.55
2009-12-31,16.68,$0.15,111.22
