Old Dominion Freight Line PE Ratio Historical Data,Old Dominion Freight Line PE Ratio Historical Data,Old Dominion Freight Line PE Ratio Historical Data,Old Dominion Freight Line PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,161.13,,29.4
2024-12-31,176.4,$5.48,32.19
2024-09-30,198.4,$5.72,34.68
2024-06-30,176.15,$5.84,30.19
2024-03-31,218.43,$5.68,38.46
2023-12-31,201.6,$5.63,35.81
2023-09-30,203.29,$5.62,36.17
2023-06-30,183.55,$5.76,31.89
2023-03-31,168.98,$6.08,27.79
2022-12-31,140.52,$6.09,23.07
2022-09-30,123.06,$5.84,21.09
2022-06-30,126.63,$5.39,23.49
2022-03-31,147.41,$4.90,30.11
2021-12-31,176.71,$4.45,39.75
2021-09-30,140.93,$4.05,34.84
2021-06-30,124.98,$3.67,34.1
2021-03-31,118.3,$3.14,37.74
2020-12-31,95.96,$2.84,33.79
2020-09-30,88.88,$2.64,33.73
2020-06-30,83.26,$2.46,33.8
2020-03-31,64.38,$2.56,25.17
2019-12-31,61.98,$2.55,24.31
2019-09-30,55.46,$2.60,21.33
2019-06-30,48.65,$2.62,18.55
2019-03-31,47.01,$2.57,18.31
2018-12-31,40.15,$2.46,16.3
2018-09-30,52.39,$2.61,20.07
2018-06-30,48.35,$2.32,20.87
2018-03-31,47.66,$2.05,23.25
2017-12-31,42.62,$1.87,22.75
2017-09-30,35.65,$1.35,26.34
2017-06-30,30.8,$1.28,24.0
2017-03-31,27.65,$1.21,22.78
2016-12-31,27.69,$1.19,23.33
2016-09-30,22.14,$1.19,18.56
2016-06-30,19.46,$1.18,16.49
2016-03-31,22.47,$1.19,18.93
2015-12-31,19.06,$1.19,16.02
2015-09-30,19.69,$1.18,16.73
2015-06-30,22.14,$1.15,19.31
2015-03-31,24.95,$1.10,22.68
2014-12-31,25.06,$1.03,24.25
2014-09-30,22.8,$0.95,24.08
2014-06-30,20.55,$0.88,23.35
2014-03-31,18.31,$0.82,22.33
2013-12-31,17.11,$0.80,21.39
2013-09-30,14.84,$0.77,19.28
2013-06-30,13.43,$0.73,18.31
2013-03-31,12.33,$0.69,17.84
2012-12-31,11.06,$0.65,16.91
2012-09-30,9.73,$0.65,14.87
2012-06-30,9.31,$0.61,15.35
2012-03-31,10.26,$0.58,17.82
2011-12-31,8.72,$0.54,16.15
2011-09-30,6.23,$0.47,13.17
2011-06-30,8.03,$0.42,19.01
2011-03-31,7.55,$0.35,21.28
2010-12-31,6.88,$0.30,22.83
2010-09-30,5.47,$0.25,21.59
2010-06-30,5.04,$0.20,25.58
2010-03-31,4.79,$0.15,31.08
2009-12-31,4.4,$0.14,31.61
