Mercantile Bank PE Ratio Historical Data,Mercantile Bank PE Ratio Historical Data,Mercantile Bank PE Ratio Historical Data,Mercantile Bank PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,44.54,,9.0
2024-12-31,44.49,$4.95,8.99
2024-09-30,43.41,$4.98,8.72
2024-06-30,39.95,$5.06,7.89
2024-03-31,37.54,$5.16,7.27
2023-12-31,39.01,$5.13,7.6
2023-09-30,29.57,$5.25,5.63
2023-06-30,26.16,$4.96,5.27
2023-03-31,28.6,$4.43,6.46
2022-12-31,31.02,$3.85,8.06
2022-09-30,27.27,$3.22,8.47
2022-06-30,29.05,$3.16,9.19
2022-03-31,31.9,$3.54,9.01
2021-12-31,31.29,$3.68,8.5
2021-09-30,28.36,$3.81,7.44
2021-06-30,26.48,$3.52,7.52
2021-03-31,28.22,$2.94,9.6
2020-12-31,23.39,$2.72,8.6
2020-09-30,15.34,$2.66,5.77
2020-06-30,19.0,$2.77,6.86
2020-03-31,17.59,$2.94,5.98
2019-12-31,29.99,$3.01,9.96
2019-09-30,26.77,$2.90,9.23
2019-06-30,26.36,$2.74,9.62
2019-03-31,26.26,$2.60,10.1
2018-12-31,22.5,$2.54,8.86
2018-09-30,25.67,$2.32,11.06
2018-06-30,28.23,$2.22,12.72
2018-03-31,25.25,$2.10,12.02
2017-12-31,26.69,$1.90,14.05
2017-09-30,26.2,$1.91,13.72
2017-06-30,23.48,$1.88,12.49
2017-03-31,25.51,$1.89,13.5
2016-12-31,27.81,$1.95,14.26
2016-09-30,19.42,$1.86,10.44
2016-06-30,17.15,$1.83,9.37
2016-03-31,16.01,$1.76,9.1
2015-12-31,17.41,$1.63,10.68
2015-09-30,14.65,$1.60,9.16
2015-06-30,14.98,$1.50,9.99
2015-03-31,13.59,$1.24,10.96
2014-12-31,14.5,$1.26,11.51
2014-09-30,13.06,$1.48,8.83
2014-06-30,15.59,$1.53,10.19
2014-03-31,12.76,$1.86,6.86
2013-12-31,13.27,$1.95,6.81
2013-09-30,13.32,$1.71,7.79
2013-06-30,10.92,$1.61,6.79
2013-03-31,9.97,$1.51,6.6
2012-12-31,9.91,$1.29,7.68
2012-09-30,10.23,$4.31,2.37
2012-06-30,11.01,$4.31,2.55
2012-03-31,8.49,$4.22,2.01
2011-12-31,5.82,$4.06,1.43
2011-09-30,4.65,$0.07,66.41
2011-06-30,4.95,$-0.90,0.0
2011-03-31,5.81,$-1.25,0.0
2010-12-31,4.89,$-1.72,0.0
2010-09-30,2.69,$-4.21,0.0
2010-06-30,3.2,$-4.20,0.0
2010-03-31,2.37,$-4.87,0.0
2009-12-31,1.83,$-5.05,0.0
