Biote PE Ratio Historical Data,Biote PE Ratio Historical Data,Biote PE Ratio Historical Data,Biote PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,4.2,,52.5
2024-12-31,6.18,$0.08,77.25
2024-09-30,5.58,$0.26,21.46
2024-06-30,7.47,$0.17,43.94
2024-03-31,5.8,$0.11,52.73
2023-12-31,4.94,$-0.22,0.0
2023-09-30,5.12,$-0.22,0.0
2023-06-30,6.76,$-2.20,0.0
2023-03-31,6.19,$0.06,103.17
2022-12-31,3.73,$0.45,8.29
2022-09-30,4.28,$0.27,15.85
2022-06-30,3.77,$2.01,1.88
2022-03-31,9.88,0,0.0
