Aterian PE Ratio Historical Data,Aterian PE Ratio Historical Data,Aterian PE Ratio Historical Data,Aterian PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,2.35,,0.0
2024-09-30,2.88,$-2.73,0.0
2024-06-30,2.81,$-3.44,0.0
2024-03-31,2.76,$-8.32,0.0
2023-12-31,4.18,$-11.64,0.0
2023-09-30,3.92,$-13.69,0.0
2023-06-30,5.52,$-34.45,0.0
2023-03-31,10.32,$-32.17,0.0
2022-12-31,9.24,$-37.46,0.0
2022-09-30,14.88,$-35.53,0.0
2022-06-30,25.92,$-51.38,0.0
2022-03-31,29.16,$-63.03,0.0
2021-12-31,49.32,$-91.48,0.0
2021-09-30,129.96,$-115.61,0.0
2021-06-30,175.56,$-78.63,0.0
2021-03-31,354.0,$-66.15,0.0
2020-12-31,206.52,$-40.22,0.0
2020-09-30,99.0,$-27.49,0.0
2020-06-30,65.88,$-35.89,0.0
2020-03-31,20.28,$-41.06,0.0
