Terns Pharmaceuticals PE Ratio Historical Data,Terns Pharmaceuticals PE Ratio Historical Data,Terns Pharmaceuticals PE Ratio Historical Data,Terns Pharmaceuticals PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,3.14,,0.0
2024-09-30,8.34,$-1.18,0.0
2024-06-30,6.81,$-1.32,0.0
2024-03-31,6.56,$-1.26,0.0
2023-12-31,6.49,$-1.27,0.0
2023-09-30,5.03,$-1.27,0.0
2023-06-30,8.75,$-1.29,0.0
2023-03-31,11.84,$-1.59,0.0
2022-12-31,10.18,$-1.83,0.0
2022-09-30,5.89,$-2.10,0.0
2022-06-30,2.48,$-2.13,0.0
2022-03-31,2.97,$-2.01,0.0
2021-12-31,7.07,$-2.34,0.0
