TJX PE Ratio Historical Data,TJX PE Ratio Historical Data,TJX PE Ratio Historical Data,TJX PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,116.25,,27.29
2025-01-31,124.79,$4.26,29.29
2024-10-31,112.68,$4.25,26.51
2024-07-31,112.29,$4.14,27.12
2024-04-30,93.13,$4.03,23.11
2024-01-31,93.62,$3.86,24.25
2023-10-31,86.55,$3.53,24.52
2023-07-31,84.71,$3.41,24.84
2023-04-30,76.84,$3.25,23.64
2023-01-31,79.51,$2.98,26.68
2022-10-31,69.74,$2.87,24.3
2022-07-31,58.88,$2.80,21.03
2022-04-30,58.68,$2.75,21.34
2022-01-31,68.67,$2.70,25.43
2021-10-31,62.25,$2.19,28.43
2021-07-31,65.17,$2.06,31.64
2021-04-30,66.99,$1.24,54.03
2021-01-31,60.2,$0.06,1003.32
2020-10-31,47.75,$0.60,79.59
2020-07-31,48.87,$0.57,85.74
2020-04-30,46.11,$1.37,33.66
2020-01-31,55.3,$2.68,20.63
2019-10-31,53.78,$2.55,21.09
2019-07-31,50.9,$2.48,20.52
2019-04-30,50.98,$2.45,20.85
2019-01-31,46.01,$2.44,18.86
2018-10-31,50.65,$2.45,20.71
2018-07-31,44.65,$2.34,19.12
2018-04-30,38.78,$2.18,17.83
2018-01-31,36.56,$2.02,18.1
2017-10-31,31.62,$1.85,17.09
2017-07-31,31.72,$1.77,17.97
2017-04-30,35.34,$1.76,20.08
2017-01-31,33.55,$1.73,19.39
2016-10-31,32.91,$1.71,19.24
2016-07-31,36.35,$1.73,21.07
2016-04-30,33.61,$1.71,19.71
2016-01-31,31.48,$1.67,18.85
2015-10-31,32.25,$1.64,19.66
2015-07-31,30.67,$1.64,18.76
2015-04-30,28.26,$1.60,17.66
2015-01-31,28.8,$1.58,18.29
2014-10-31,27.58,$1.52,18.21
2014-07-31,23.14,$1.52,15.22
2014-04-30,25.19,$1.49,16.96
2014-01-31,24.77,$1.48,16.8
2013-10-31,26.19,$1.48,17.7
2013-07-31,22.36,$1.36,16.44
2013-04-30,20.9,$1.31,15.95
2013-01-31,19.31,$1.28,15.14
2012-10-31,17.74,$1.18,15.1
2012-07-31,18.82,$1.13,16.66
2012-04-30,17.68,$1.08,16.45
2012-01-31,14.4,$0.97,14.89
2011-10-31,12.42,$0.87,14.32
2011-07-31,11.61,$0.83,13.95
2011-04-30,11.22,$0.79,14.16
2011-01-31,9.89,$0.83,11.98
2010-10-31,9.54,$0.85,11.23
2010-07-31,8.6,$0.82,10.46
2010-04-30,9.57,$0.79,12.11
2010-01-31,7.83,$0.71,10.98
2009-10-31,7.67,$0.62,12.32
