Farmland Partners PE Ratio Historical Data,Farmland Partners PE Ratio Historical Data,Farmland Partners PE Ratio Historical Data,Farmland Partners PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,11.05,,11.05
2024-12-31,11.76,$1.00,11.76
2024-09-30,10.39,$0.28,37.1
2024-06-30,11.4,$0.33,34.55
2024-03-31,10.98,$0.51,21.52
2023-12-31,12.27,$0.52,23.61
2023-09-30,9.88,$0.32,30.88
2023-06-30,11.69,$0.26,44.97
2023-03-31,10.2,$0.18,56.65
2022-12-31,11.81,$0.16,73.8
2022-09-30,11.95,$0.19,62.89
2022-06-30,12.95,$0.01,1295.17
2022-03-31,12.85,$-0.22,0.0
2021-12-31,11.13,$-0.24,0.0
2021-09-30,11.12,$-0.32,0.0
2021-06-30,11.13,$-0.24,0.0
2021-03-31,10.31,$-0.15,0.0
2020-12-31,7.96,$-0.22,0.0
2020-09-30,6.06,$-0.19,0.0
2020-06-30,6.19,$-0.25,0.0
2020-03-31,5.44,$-0.07,0.0
2019-12-31,6.03,$-0.08,0.0
2019-09-30,5.9,$-0.08,0.0
2019-06-30,6.18,$0.09,68.65
2019-03-31,5.57,$-0.06,0.0
2018-12-31,3.92,$-0.04,0.0
2018-09-30,5.72,$-0.06,0.0
2018-06-30,7.46,$-0.07,0.0
2018-03-31,6.98,$0.02,348.85
2017-12-31,7.14,0,0.0
2017-09-30,7.44,$0.19,39.16
2017-06-30,7.26,$0.12,60.46
2017-03-31,8.94,$0.10,89.36
2016-12-31,8.83,$0.05,176.51
2016-09-30,8.76,$-0.17,0.0
2016-06-30,8.75,$-0.07,0.0
2016-03-31,8.2,$-0.07,0.0
2015-12-31,8.29,$0.06,138.13
2015-09-30,7.84,$-0.03,0.0
2015-06-30,8.77,$0.04,219.34
2015-03-31,8.56,$-0.08,0.0
