Alta Equipment Group PE Ratio Historical Data,Alta Equipment Group PE Ratio Historical Data,Alta Equipment Group PE Ratio Historical Data,Alta Equipment Group PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,5.33,,0.0
2024-12-31,6.54,$-1.96,0.0
2024-09-30,6.69,$-1.70,0.0
2024-06-30,7.9,$-0.64,0.0
2024-03-31,12.64,$-0.21,0.0
2023-12-31,12.02,$0.18,66.76
2023-09-30,11.66,$0.21,55.51
2023-06-30,16.68,$0.15,111.23
2023-03-31,15.2,$0.27,56.3
2022-12-31,12.61,$0.20,63.05
2022-09-30,10.48,$0.20,52.39
2022-06-30,8.5,$0.04,212.5
2022-03-31,11.71,$-0.61,0.0
2021-12-31,13.87,$-0.74,0.0
2021-09-30,13.01,$-0.78,0.0
2021-06-30,12.59,$-0.75,0.0
2021-03-31,12.32,$-0.41,0.0
2020-12-31,9.36,$-1.13,0.0
2020-09-30,7.42,$-1.55,0.0
2020-06-30,7.36,$-1.56,0.0
2020-03-31,4.05,$-1.42,0.0
