Inspired Entertainment PE Ratio Historical Data,Inspired Entertainment PE Ratio Historical Data,Inspired Entertainment PE Ratio Historical Data,Inspired Entertainment PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,9.1,,0.0
2024-09-30,9.27,$-0.01,0.0
2024-06-30,9.15,$-0.01,0.0
2024-03-31,9.86,$0.06,164.33
2023-12-31,9.88,$0.25,39.52
2023-09-30,11.96,$0.36,33.22
2023-06-30,14.71,$0.59,24.93
2023-03-31,12.79,$0.71,18.01
2022-12-31,12.67,$0.77,16.45
2022-09-30,8.83,$0.61,14.48
2022-06-30,8.61,$0.56,15.38
2022-03-31,12.3,$-1.64,0.0
2021-12-31,12.96,$-2.43,0.0
2021-09-30,11.7,$-1.89,0.0
2021-06-30,12.75,$-2.18,0.0
2021-03-31,9.29,$-1.33,0.0
2020-12-31,6.58,$-1.37,0.0
2020-09-30,2.96,$-2.44,0.0
2020-06-30,2.9,$-2.83,0.0
2020-03-31,3.38,$-2.22,0.0
2019-12-31,6.75,$-1.68,0.0
2019-09-30,7.19,$-1.33,0.0
2019-06-30,8.44,$-1.52,0.0
2019-03-31,6.67,$-1.23,0.0
2018-12-31,4.8,$-1.01,0.0
2018-09-30,6.1,$-0.98,0.0
2018-06-30,6.25,$-0.41,0.0
2018-03-31,5.5,$-0.63,0.0
2017-12-31,9.8,$-1.06,0.0
2017-09-30,13.25,$-2.65,0.0
