MeridianLink PE Ratio Historical Data,MeridianLink PE Ratio Historical Data,MeridianLink PE Ratio Historical Data,MeridianLink PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,19.34,,0.0
2024-12-31,20.65,$-0.29,0.0
2024-09-30,20.57,$-0.67,0.0
2024-06-30,21.36,$-0.61,0.0
2024-03-31,18.7,$-0.54,0.0
2023-12-31,24.77,$-0.54,0.0
2023-09-30,17.06,$-0.23,0.0
2023-06-30,20.8,$-0.24,0.0
2023-03-31,161.47,$-0.15,0.0
2022-12-31,128.15,$0.01,0.0
2022-09-30,151.95,$0.04,3798.67
2022-06-30,155.87,$-0.26,0.0
