Matinas Biopharma Holdings PE Ratio Historical Data,Matinas Biopharma Holdings PE Ratio Historical Data,Matinas Biopharma Holdings PE Ratio Historical Data,Matinas Biopharma Holdings PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,0.54,,0.0
2024-09-30,3.54,$-4.85,0.0
2024-06-30,7.92,$-5.50,0.0
2024-03-31,13.55,$-6.00,0.0
2023-12-31,10.81,$-6.00,0.0
2023-09-30,6.5,$-5.50,0.0
2023-06-30,18.0,$-5.50,0.0
2023-03-31,23.5,$-5.50,0.0
2022-12-31,25.0,$-5.50,0.0
2022-09-30,31.8,$-6.00,0.0
2022-06-30,39.5,$-6.00,0.0
2022-03-31,40.22,$-5.50,0.0
2021-12-31,50.5,$-5.50,0.0
2021-09-30,65.0,$-5.50,0.0
2021-06-30,38.75,$-5.50,0.0
2021-03-31,52.5,$-6.00,0.0
2020-12-31,68.0,$-6.00,0.0
2020-09-30,38.3,$-6.50,0.0
2020-06-30,38.65,$-6.50,0.0
2020-03-31,30.01,$-6.50,0.0
2019-12-31,113.5,$-7.00,0.0
2019-09-30,31.53,$-6.50,0.0
2019-06-30,42.83,$-6.50,0.0
2019-03-31,54.5,$-7.00,0.0
2018-12-31,29.75,$-7.50,0.0
2018-09-30,46.0,$-7.50,0.0
2018-06-30,21.69,$-8.00,0.0
2018-03-31,38.24,$-8.00,0.0
2017-12-31,58.0,$-18.00,0.0
