Camden National PE Ratio Historical Data,Camden National PE Ratio Historical Data,Camden National PE Ratio Historical Data,Camden National PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,41.44,,11.45
2024-12-31,42.74,$3.62,11.81
2024-09-30,40.91,$3.20,12.79
2024-06-30,32.3,$2.97,10.88
2024-03-31,32.35,$3.01,10.75
2023-12-31,35.9,$2.97,12.09
2023-09-30,26.52,$3.44,7.71
2023-06-30,28.7,$3.74,7.67
2023-03-31,33.14,$3.91,8.47
2022-12-31,37.8,$4.17,9.06
2022-09-30,38.27,$4.23,9.05
2022-06-30,39.2,$4.23,9.27
2022-03-31,41.51,$4.42,9.39
2021-12-31,42.17,$4.60,9.17
2021-09-30,41.63,$4.71,8.84
2021-06-30,41.18,$4.85,8.49
2021-03-31,40.96,$4.37,9.37
2020-12-31,30.36,$3.95,7.69
2020-09-30,25.38,$3.72,6.82
2020-06-30,28.72,$3.55,8.09
2020-03-31,25.86,$3.67,7.05
2019-12-31,37.61,$3.69,10.19
2019-09-30,35.12,$3.59,9.78
2019-06-30,36.94,$3.55,10.41
2019-03-31,33.37,$3.48,9.59
2018-12-31,28.54,$3.39,8.42
2018-09-30,34.22,$2.30,14.88
2018-06-30,35.77,$2.12,16.87
2018-03-31,34.63,$2.00,17.32
2017-12-31,32.6,$1.82,17.91
2017-09-30,33.59,$2.72,12.35
2017-06-30,32.85,$2.70,12.17
2017-03-31,33.54,$2.65,12.64
2016-12-31,33.67,$2.55,13.19
2016-09-30,23.95,$1.97,12.18
2016-06-30,20.93,$1.84,11.37
2016-03-31,20.78,$1.87,11.13
2015-12-31,21.65,$1.83,11.86
2015-09-30,19.69,$2.26,8.71
2015-06-30,18.72,$2.26,8.28
2015-03-31,19.13,$2.19,8.75
2014-12-31,18.98,$2.19,8.68
2014-09-30,16.55,$2.03,8.17
2014-06-30,18.2,$2.01,9.07
2014-03-31,19.22,$1.99,9.67
2013-12-31,19.38,$1.98,9.79
2013-09-30,18.76,$1.96,9.57
2013-06-30,16.21,$1.95,8.3
2013-03-31,14.99,$1.96,7.65
2012-12-31,15.28,$2.04,7.49
2012-09-30,16.55,$2.18,7.59
2012-06-30,16.26,$2.23,7.28
2012-03-31,15.48,$2.29,6.75
2011-12-31,14.25,$2.27,6.27
2011-09-30,11.61,$2.33,4.99
2011-06-30,13.89,$2.37,5.85
2011-03-31,14.39,$2.25,6.4
2010-12-31,15.11,$2.15,7.02
2010-09-30,14.35,$2.05,7.01
2010-06-30,11.28,$1.95,5.78
2010-03-31,13.09,$1.90,6.89
2009-12-31,13.23,$1.98,6.68
