Allurion Technologies PE Ratio Historical Data,Allurion Technologies PE Ratio Historical Data,Allurion Technologies PE Ratio Historical Data,Allurion Technologies PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,2.28,,0.0
2024-09-30,0.61,$-12.00,0.0
2024-06-30,1.0,$-22.00,0.0
2024-03-31,1.75,$-94.75,0.0
2023-12-31,3.74,$-97.50,0.0
2023-09-30,4.3,$-87.50,0.0
2023-06-30,10.67,$-74.00,0.0
2023-03-31,10.24,0,0.0
2022-12-31,10.1,0,0.0
2022-09-30,9.87,0,0.0
2022-06-30,9.81,0,0.0
2022-03-31,9.78,0,0.0
2021-12-31,9.73,0,0.0
