Amphenol PE Ratio Historical Data,Amphenol PE Ratio Historical Data,Amphenol PE Ratio Historical Data,Amphenol PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,66.36,,34.65
2024-12-31,69.45,$1.92,36.27
2024-09-30,65.16,$1.74,37.45
2024-06-30,67.2,$1.68,40.12
2024-03-31,57.44,$1.64,35.13
2023-12-31,49.26,$1.56,31.68
2023-09-30,41.64,$1.55,26.87
2023-06-30,42.02,$1.54,27.37
2023-03-31,40.32,$1.55,26.1
2022-12-31,37.46,$1.53,24.49
2022-09-30,32.86,$1.49,22.05
2022-06-30,31.5,$1.43,22.03
2022-03-31,36.75,$1.35,27.33
2021-12-31,42.55,$1.27,33.5
2021-09-30,35.54,$1.19,29.93
2021-06-30,33.14,$1.13,29.39
2021-03-31,31.88,$1.05,30.51
2020-12-31,31.53,$0.98,32.26
2020-09-30,26.05,$0.95,27.49
2020-06-30,23.0,$0.90,25.62
2020-03-31,17.45,$0.92,19.02
2019-12-31,25.82,$0.94,27.54
2019-09-30,22.96,$0.95,24.11
2019-06-30,22.77,$0.98,23.36
2019-03-31,22.36,$0.97,23.05
2018-12-31,19.14,$0.96,19.88
2018-09-30,22.15,$0.61,36.61
2018-06-30,20.48,$0.57,35.77
2018-03-31,20.19,$0.55,37.04
2017-12-31,20.54,$0.51,40.07
2017-09-30,19.76,$0.79,25.17
2017-06-30,17.19,$0.74,23.15
2017-03-31,16.54,$0.71,23.46
2016-12-31,15.58,$0.65,23.88
2016-09-30,15.02,$0.62,24.13
2016-06-30,13.23,$0.61,21.78
2016-03-31,13.31,$0.59,22.76
2015-12-31,12.0,$0.60,19.91
2015-09-30,11.67,$0.60,19.54
2015-06-30,13.24,$0.58,22.93
2015-03-31,13.43,$0.57,23.41
2014-12-31,12.24,$0.55,22.1
2014-09-30,11.33,$0.53,21.33
2014-06-30,10.91,$0.51,21.27
2014-03-31,10.35,$0.50,20.91
2013-12-31,10.05,$0.49,20.51
2013-09-30,8.7,$0.47,18.61
2013-06-30,8.74,$0.46,19.16
2013-03-31,8.36,$0.45,18.79
2012-12-31,7.24,$0.42,17.08
2012-09-30,6.57,$0.40,16.33
2012-06-30,6.12,$0.39,15.74
2012-03-31,6.65,$0.39,17.15
2011-12-31,5.04,$0.38,13.22
2011-09-30,4.53,$0.39,11.68
2011-06-30,5.99,$0.39,15.51
2011-03-31,6.03,$0.37,16.2
2010-12-31,5.85,$0.35,16.61
2010-09-30,5.43,$0.32,16.84
2010-06-30,4.35,$0.28,15.34
2010-03-31,4.67,$0.25,19.07
2009-12-31,5.12,$0.23,22.35
