Citigroup PE Ratio Historical Data,Citigroup PE Ratio Historical Data,Citigroup PE Ratio Historical Data,Citigroup PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,71.82,,12.07
2024-12-31,70.39,$5.95,11.83
2024-09-30,62.04,$3.45,17.98
2024-06-30,62.27,$3.57,17.44
2024-03-31,61.53,$3.38,18.2
2023-12-31,49.57,$3.99,12.42
2023-09-30,39.15,$6.31,6.2
2023-06-30,43.32,$6.31,6.87
2023-03-31,43.65,$7.17,6.09
2022-12-31,41.68,$7.00,5.95
2022-09-30,37.97,$7.30,5.2
2022-06-30,41.5,$7.82,5.31
2022-03-31,47.68,$8.48,5.62
2021-12-31,53.51,$10.08,5.31
2021-09-30,61.73,$10.70,5.77
2021-06-30,61.77,$9.95,6.21
2021-03-31,63.06,$7.60,8.3
2020-12-31,52.98,$5.03,10.53
2020-09-30,36.59,$5.10,7.18
2020-06-30,42.94,$5.77,7.44
2020-03-31,35.0,$7.22,4.85
2019-12-31,65.93,$8.04,8.2
2019-09-30,56.62,$7.53,7.52
2019-06-30,56.97,$7.19,7.92
2019-03-31,50.62,$6.87,7.37
2018-12-31,42.05,$6.68,6.3
2018-09-30,57.56,$-2.11,0.0
2018-06-30,53.36,$-2.42,0.0
2018-03-31,53.57,$-2.77,0.0
2017-12-31,58.81,$-3.10,0.0
2017-09-30,57.24,$5.19,11.03
2017-06-30,52.39,$5.01,10.46
2017-03-31,46.73,$4.97,9.4
2016-12-31,46.29,$4.72,9.81
2016-09-30,36.67,$4.60,7.97
2016-06-30,32.79,$4.71,6.96
2016-03-31,32.26,$4.98,6.48
2015-12-31,39.94,$5.39,7.41
2015-09-30,38.25,$4.43,8.63
2015-06-30,42.56,$4.15,10.25
2015-03-31,39.65,$2.70,14.69
2014-12-31,41.64,$2.42,17.21
2014-09-30,39.87,$3.21,12.42
2014-06-30,36.23,$3.14,11.54
2014-03-31,36.61,$4.42,8.28
2013-12-31,40.07,$4.42,9.06
2013-09-30,37.29,$3.95,9.44
2013-06-30,36.87,$3.10,11.89
2013-03-31,34.0,$2.71,12.54
2012-12-31,30.39,$2.43,12.51
2012-09-30,25.13,$2.43,10.34
2012-06-30,21.04,$3.51,6.0
2012-03-31,28.05,$3.65,7.69
2011-12-31,20.19,$3.70,5.46
2011-09-30,19.65,$3.72,5.28
2011-06-30,31.93,$3.19,10.01
2011-03-31,33.89,$3.00,11.3
2010-12-31,36.26,$3.50,10.36
2010-09-30,29.98,$-0.00,0.0
2010-06-30,28.83,$-3.40,0.0
2010-03-31,31.05,$0.60,51.75
2009-12-31,25.38,$-2.70,0.0
