HF FOODS GROUP INC PE Ratio Historical Data,HF FOODS GROUP INC PE Ratio Historical Data,HF FOODS GROUP INC PE Ratio Historical Data,HF FOODS GROUP INC PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,3.55,,0.0
2024-09-30,3.57,$-0.03,0.0
2024-06-30,3.0,$0.07,42.86
2024-03-31,3.5,$0.05,70.0
2023-12-31,5.34,$-0.05,0.0
2023-09-30,3.97,$-0.16,0.0
2023-06-30,4.69,$-0.26,0.0
2023-03-31,3.92,$-0.16,0.0
2022-12-31,4.06,$0.01,406.0
2022-09-30,3.87,$0.25,15.48
2022-06-30,5.22,$0.47,11.11
2022-03-31,6.66,$0.46,14.48
2021-12-31,8.46,$0.43,19.67
2021-09-30,6.05,$0.28,21.61
2021-06-30,5.29,$0.12,44.08
2021-03-31,7.22,$-0.03,0.0
2020-12-31,7.52,$-6.58,0.0
2020-09-30,6.61,$-6.57,0.0
2020-06-30,9.05,$-6.50,0.0
2020-03-31,8.39,$-6.37,0.0
2019-12-31,19.5,$0.23,84.78
2019-09-30,17.05,$0.29,58.79
2019-06-30,34.81,$0.31,112.29
2019-03-31,13.25,$0.26,50.96
2018-12-31,13.3,$0.18,73.89
2018-09-30,15.1,$0.08,188.75
2018-06-30,10.15,0,0.0
