Destination XL PE Ratio Historical Data,Destination XL PE Ratio Historical Data,Destination XL PE Ratio Historical Data,Destination XL PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,1.85,,12.3
2024-10-31,2.68,$0.15,17.83
2024-07-31,3.73,$0.24,15.54
2024-04-30,3.21,$0.38,8.45
2024-01-31,4.27,$0.43,9.93
2023-10-31,4.16,$0.48,8.67
2023-07-31,5.16,$0.58,8.9
2023-04-30,4.39,$1.25,3.51
2023-01-31,7.13,$1.34,5.32
2022-10-31,6.68,$1.35,4.95
2022-07-31,4.14,$1.39,2.98
2022-04-30,4.95,$0.90,5.5
2022-01-31,4.44,$0.84,5.29
2021-10-31,7.11,$0.60,11.85
2021-07-31,0.21,$0.26,0.82
2021-04-30,0.21,$-0.31,0.0
2021-01-31,0.21,$-1.27,0.0
2020-10-31,0.26,$-1.12,0.0
2020-07-31,0.34,$-1.12,0.0
2020-04-30,0.39,$-0.91,0.0
2020-01-31,1.11,$-0.15,0.0
2019-10-31,1.45,$-0.35,0.0
2019-07-31,1.76,$-0.25,0.0
2019-04-30,2.11,$-0.27,0.0
2019-01-31,2.58,$-0.27,0.0
2018-10-31,3.06,$-0.19,0.0
2018-07-31,2.03,$-0.27,0.0
2018-04-30,1.7,$-0.33,0.0
2018-01-31,2.6,$-0.39,0.0
2017-10-31,2.0,$-0.28,0.0
2017-07-31,2.0,$-0.25,0.0
2017-04-30,2.55,$-0.17,0.0
2017-01-31,3.55,$-0.05,0.0
2016-10-31,4.05,$-0.12,0.0
2016-07-31,5.16,$-0.14,0.0
2016-04-30,5.37,$-0.16,0.0
2016-01-31,4.3,$-0.17,0.0
2015-10-31,5.84,$-0.11,0.0
2015-07-31,4.89,$-0.13,0.0
2015-04-30,4.87,$-0.19,0.0
2015-01-31,5.08,$-0.25,0.0
2014-10-31,5.24,$-1.42,0.0
2014-07-31,5.35,$-1.37,0.0
2014-04-30,5.4,$-1.32,0.0
2014-01-31,5.38,$-1.23,0.0
2013-10-31,6.95,0,0.0
2013-07-31,6.45,$0.05,129.0
2013-04-30,4.98,$0.11,45.27
2013-01-31,4.59,$0.14,32.79
2012-10-31,3.86,$0.75,5.15
2012-07-31,3.8,$0.75,5.07
2012-04-30,3.14,$0.86,3.65
2012-01-31,3.16,$0.90,3.51
2011-10-31,4.15,$0.31,13.39
2011-07-31,4.21,$0.35,12.03
2011-04-30,4.22,$0.33,12.79
2011-01-31,4.2,$0.33,12.73
2010-10-31,4.41,$0.30,14.7
2010-07-31,3.46,$0.26,13.31
2010-04-30,4.09,$0.23,17.78
2010-01-31,2.8,$0.15,18.67
2009-10-31,2.51,$-2.54,0.0
