American Shared Hospital Services PE Ratio Historical Data,American Shared Hospital Services PE Ratio Historical Data,American Shared Hospital Services PE Ratio Historical Data,American Shared Hospital Services PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,2.79,,4.64
2024-09-30,3.05,$0.60,5.08
2024-06-30,3.2,$0.65,4.92
2024-03-31,2.95,$0.08,36.88
2023-12-31,2.38,$0.09,26.44
2023-09-30,2.47,$0.07,35.29
2023-06-30,2.56,$0.10,25.55
2023-03-31,2.81,$0.20,14.05
2022-12-31,2.93,$0.21,13.95
2022-09-30,2.59,$0.21,12.33
2022-06-30,2.22,$0.17,13.06
2022-03-31,2.34,$0.08,29.25
2021-12-31,2.37,$0.04,59.25
2021-09-30,2.76,$-1.01,0.0
2021-06-30,2.93,$-1.05,0.0
2021-03-31,2.77,$-1.12,0.0
2020-12-31,2.22,$-1.14,0.0
2020-09-30,1.81,$-0.10,0.0
2020-06-30,2.14,$-0.04,0.0
2020-03-31,1.55,$0.05,31.0
2019-12-31,2.44,$0.12,20.33
2019-09-30,2.51,$0.12,20.92
2019-06-30,2.87,$0.12,23.92
2019-03-31,2.78,$0.16,17.38
2018-12-31,2.38,$0.18,13.22
2018-09-30,3.5,$0.39,8.97
2018-06-30,2.75,$0.38,7.24
2018-03-31,2.55,$0.35,7.29
2017-12-31,2.6,$0.33,7.87
2017-09-30,2.85,$0.17,16.76
2017-06-30,3.9,$0.21,18.57
2017-03-31,4.33,$0.21,20.6
2016-12-31,3.35,$0.17,19.71
2016-09-30,3.11,$0.14,22.21
2016-06-30,2.03,$0.09,22.56
2016-03-31,2.22,$-0.29,0.0
2015-12-31,1.84,$-0.28,0.0
2015-09-30,1.92,$-0.32,0.0
2015-06-30,2.53,$-0.33,0.0
2015-03-31,2.54,$-0.17,0.0
2014-12-31,2.81,$-0.21,0.0
2014-09-30,2.2,$-0.24,0.0
2014-06-30,2.6,$-0.27,0.0
2014-03-31,3.23,$-0.10,0.0
2013-12-31,2.77,$-0.07,0.0
2013-09-30,2.56,$-0.05,0.0
2013-06-30,2.19,$-0.02,0.0
2013-03-31,1.98,$0.01,198.0
2012-12-31,2.73,0,0.0
2012-09-30,2.99,$0.05,59.8
2012-06-30,3.19,$0.10,31.9
2012-03-31,3.45,$0.10,34.5
2011-12-31,2.66,$0.10,26.61
2011-09-30,2.75,$0.06,45.83
2011-06-30,3.15,$0.01,315.0
2011-03-31,3.51,$0.01,351.0
2010-12-31,2.82,$0.01,282.0
2010-09-30,3.08,$-0.03,0.0
2010-06-30,2.95,$-0.03,0.0
2010-03-31,2.89,$-0.02,0.0
2009-12-31,2.95,$-0.04,0.0
