OrthoPediatrics PE Ratio Historical Data,OrthoPediatrics PE Ratio Historical Data,OrthoPediatrics PE Ratio Historical Data,OrthoPediatrics PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,25.54,,0.0
2024-12-31,23.18,$-1.63,0.0
2024-09-30,27.11,$-1.23,0.0
2024-06-30,28.76,$-1.09,0.0
2024-03-31,29.16,$-0.96,0.0
2023-12-31,32.51,$-0.92,0.0
2023-09-30,32.0,$-0.98,0.0
2023-06-30,43.85,$0.09,487.22
2023-03-31,44.29,$0.20,221.45
2022-12-31,39.73,$0.03,1324.33
2022-09-30,46.14,$0.38,121.42
2022-06-30,43.15,$-0.60,0.0
2022-03-31,53.99,$-0.77,0.0
2021-12-31,59.86,$-0.84,0.0
2021-09-30,65.51,$-1.57,0.0
2021-06-30,63.18,$-1.70,0.0
2021-03-31,48.75,$-2.05,0.0
2020-12-31,41.25,$-1.81,0.0
2020-09-30,45.92,$-1.44,0.0
2020-06-30,43.76,$-1.38,0.0
2020-03-31,39.64,$-1.02,0.0
2019-12-31,46.99,$-0.93,0.0
2019-09-30,35.26,$-0.76,0.0
2019-06-30,39.0,$-0.73,0.0
2019-03-31,44.23,$-0.76,0.0
2018-12-31,34.88,$-0.96,0.0
2018-09-30,36.64,$-5.12,0.0
