Ameren PE Ratio Historical Data,Ameren PE Ratio Historical Data,Ameren PE Ratio Historical Data,Ameren PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,99.97,,22.62
2024-12-31,89.14,$4.42,20.17
2024-09-30,86.81,$4.25,20.43
2024-06-30,70.02,$4.42,15.84
2024-03-31,72.14,$4.35,16.58
2023-12-31,69.91,$4.37,16.0
2023-09-30,71.74,$4.40,16.3
2023-06-30,77.68,$4.27,18.19
2023-03-31,81.54,$4.17,19.55
2022-12-31,83.3,$4.14,20.12
2022-09-30,74.96,$3.99,18.79
2022-06-30,83.55,$3.90,21.42
2022-03-31,86.15,$3.90,22.09
2021-12-31,81.24,$3.84,21.16
2021-09-30,73.46,$3.82,19.23
2021-06-30,72.13,$3.64,19.82
2021-03-31,72.85,$3.82,19.07
2020-12-31,69.38,$3.50,19.82
2020-09-30,69.82,$3.42,20.42
2020-06-30,61.73,$3.42,18.05
2020-03-31,63.48,$3.16,20.09
2019-12-31,66.54,$3.35,19.86
2019-09-30,68.9,$3.25,21.2
2019-06-30,64.65,$3.23,20.01
2019-03-31,62.91,$3.48,18.08
2018-12-31,55.79,$3.32,16.8
2018-09-30,53.71,$2.80,19.18
2018-06-30,51.34,$2.53,20.29
2018-03-31,47.39,$2.35,20.17
2017-12-31,48.95,$2.15,22.77
2017-09-30,47.64,$2.52,18.9
2017-06-30,44.7,$2.86,15.63
2017-03-31,44.29,$2.68,16.52
2016-12-31,42.21,$2.69,15.69
2016-09-30,39.22,$2.68,14.64
2016-06-30,42.37,$2.57,16.49
2016-03-31,39.28,$2.57,15.28
2015-12-31,33.59,$2.59,12.97
2015-09-30,32.52,$2.67,12.18
2015-06-30,28.69,$2.46,11.66
2015-03-31,31.79,$2.46,12.92
2014-12-31,34.41,$2.41,14.28
2014-09-30,28.32,$2.36,12.0
2014-06-30,29.91,$2.40,12.46
2014-03-31,29.83,$2.18,13.69
2013-12-31,25.92,$1.18,21.97
2013-09-30,24.7,$-3.73,0.0
2013-06-30,24.12,$-3.43,0.0
2013-03-31,24.25,$-2.95,0.0
2012-12-31,21.02,$-4.01,0.0
2012-09-30,22.06,$0.85,25.95
2012-06-30,22.37,$0.49,45.66
2012-03-31,21.47,$0.19,113.02
2011-12-31,21.57,$2.14,10.08
2011-09-30,19.14,$2.25,8.51
2011-06-30,18.3,$0.37,49.46
2011-03-31,17.57,$0.44,39.94
2010-12-31,17.4,$0.58,30.01
2010-09-30,17.3,$0.71,24.37
2010-06-30,14.29,$2.45,5.83
2010-03-31,15.43,$2.58,5.98
2009-12-31,16.29,$2.81,5.8
